术语,别名,类别,多标签,备注
卡托,SIM卡托;SIM Card Tray,部件,部件;外观,承载SIM卡和内存卡的可拆卸部件，存在装配不顺、易脱落等风险。
拉拔力,插拔力;Insertion/Extraction Force,部件,硬件相关;可靠性,将连接器插入或拔出的力，过小导致接触不良，过大会影响用户体验和寿命。
良率,yield,部件,制造工艺;质量体系,合格品数量与生产总数量的比率，是衡量制造水平的核心指标。
马鞍,中框马鞍区;Middle Frame Saddle,部件,部件;设计,手机中框两侧收窄的区域，是结构强度和信号设计的重点区域。
盲孔,盲埋孔;Blind Via,部件,PCB;设计,仅连接PCB外层和内层，但不穿透整个板的导通孔，用于高密度布线。
门限,阈值;Threshold,部件,测试验证;软件相关,触发某种动作或判断合格与否的临界值，如功耗门限、信号强度门限。
密封圈,密封胶圈;Sealing Ring,部件,部件;可靠性,用于防水设计的橡胶或硅胶圈，其压缩量和弹性决定密封效果。
膜厚,涂层厚度;Coating Thickness,部件,CMF;制造工艺,喷涂、电镀等表面处理层的厚度，影响外观、手感和性能。
摩擦,耐磨性;Abrasion Resistance,部件,可靠性;外观,材料表面抵抗刮擦和磨损的能力，通常通过摩擦测试来验证。
母排,电池母排;Battery FPC,部件,部件;电气连接,连接电池保护板和电芯的柔性电路板，其设计和可靠性至关重要。
内阻,内部电阻;Internal Resistance,部件,硬件相关;电池,电池本身所具有的电阻，内阻增大会导致输出电压下降和发热。
粘附,附着力;Adhesion,部件,制造工艺;可靠性,涂层、镀层或胶带与基材之间的结合强度，附着力不足会导致脱落。
粘锡,焊盘沾锡;Pad Wetting,部件,SMT;制造工艺,熔化的焊锡在焊盘上铺展的能力，是形成良好焊点的基础。
扭力,扭矩;Torque,部件,工具;结构相关,拧紧螺丝所需的力矩，有规定的标准值，过小或过大都有风险。
排线,柔性排线;Flex Cable,部件,部件;电气连接,连接主板与屏幕、摄像头等部件的软性线路，弯折过度易断裂。
平顺,平整度;Flatness,部件,结构相关;外观,表面相对于理想平面的偏差程度，影响装配和美观。
气密,气密性;Air Tightness,部件,结构相关;可靠性,产品防止气体渗透的能力，是防水防尘设计的关键指标。
亲水,亲水性;Hydrophilic,部件,CMF;可靠性,材料表面容易被水润湿的特性，与疏水性相对。
润湿,焊锡润湿;Solder Wetting,部件,SMT;制造工艺,熔融焊锡在金属表面铺展并形成冶金结合的过程，是良好焊接的前提。
色牢,颜色牢固度;Color Fastness,部件,CMF;可靠性,涂层、油墨等颜色抵抗光照、摩擦、汗液等作用而保持不褪色的能力。
上盖,上壳体;Top Case,部件,部件;外观,手机的上半部分外壳。
上锡,锡膏覆盖;Solder Coverage,部件,SMT;制造工艺,焊盘表面被焊锡覆盖的面积比例，是评估焊接质量的重要指标。
生耳,表耳;Lug,部件,部件;外观,表带上用于连接表壳的突出部分，在手机上可能指类似结构。
声腔,扬声器腔体;Speaker Chamber,部件,部件;声学,为扬声器提供共振空间的密封结构，其容积和设计对音质影响很大。
石磨,石材纹理;Stone Pattern,部件,外观;设计,通过工艺模拟天然石材的纹理和质感。
时长,持续时间;Duration,部件,测试验证;可靠性,某项测试持续的时间或产品某项功能的续航时间。
食人鱼,食人鱼LED;Piranha LED,部件,部件;显示相关,一种亮度高、视角广的LED，常用作指示灯。
硬度,材料硬度;Hardness,部件,物料;可靠性,材料抵抗硬物压入其表面的能力，如莫氏硬度、铅笔硬度。
有源,有源器件;Active Component,部件,部件;电气性能,需要电源才能正常工作的器件，如芯片、晶体管等。
原色,基底颜色;Base Color,部件,外观;设计,材料本身的颜色，区别于后期处理（如喷涂）的颜色。
运放,运算放大器;Operational Amplifier,部件,部件;电气性能,用于信号放大的集成电路，其性能影响音频、传感器等信号质量。
增益,天线增益;Antenna Gain,部件,硬件相关;通信相关,天线在特定方向上的辐射强度与理想点源天线的比值，影响信号覆盖。
沾锡,焊盘沾锡;Pad Wetting,部件,SMT;制造工艺,熔化的焊锡在焊盘上铺展的能力，是形成良好焊点的基础。
张力,表面张力;Surface Tension,部件,制造工艺;物料,液体表面收缩的力，影响锡膏印刷、点胶、涂布等工艺的成型。
针脚,元器件引脚;Component Lead,部件,部件;SMT,元器件上用于焊接的金属引脚。
支架,支撑架;Bracket,部件,部件;设计,用于支撑和固定其他部件的结构件。
直通,直通率;First Pass Yield,部件,制造工艺;质量体系,产品在某一工序一次性通过检验的比率，反映工序能力。
纸箱,包装外箱;Carton,部件,物料;包装,手机运输和销售的外层纸箱，要求有足够的抗压和抗跌落强度。
质心,重心;Center of Gravity,部件,结构相关;设计,产品重力的合力作用点，影响握持手感和跌落姿态。
中框,手机中框;Middle Frame,部件,部件;外观,手机的骨架结构，用于固定内部元件，常见材质为金属或塑料。
主摄,主摄像头;Main Camera,部件,部件;影像相关,手机多个摄像头中性能最强、最常用的那个摄像头。
驻波,驻波比;Standing Wave Ratio,部件,硬件相关;通信相关,表征天线与馈线匹配程度的指标，驻波比过大意味着信号反射严重。
转轴,铰链;Hinge,部件,部件;可靠性,折叠屏手机的关键部件，负责屏幕弯折，对疲劳寿命和顺滑度要求极高。
追频,频率追踪;Frequency Tracking,部件,无线充电;性能指标,无线充电系统中，根据负载变化动态调整工作频率以保持最佳效率。
自拍,前置摄像头;Front Camera,部件,部件;影像相关,用于拍摄用户自己的摄像头，位于手机正面。
阻焊,阻焊层;Solder Mask,部件,PCB;设计,覆盖在PCB铜箔上的绿色或其他颜色的绝缘保护层，防止短路和氧化。
座充,座式充电器;Desktop Charger,部件,配件;充电,将手机插入底座进行充电的配件。
座子,连接器插座;Connector Socket,部件,部件;电气连接,固定在PCB上的连接器母端。
SAR,比吸收率;Specific Absorption Rate,部件,安全相关;通信相关,**定义**: 人体吸收电磁能量的速率。 **判定口径**: <2.0 W/kg。 **常见场景**: 手机靠近头部。 **排查路径**: 测试实验室验证。 **对策**: 优化射频发射功率，改善天线布局。
热容率,体积热容,部件,物料;热管理,单位体积材料升高单位温度所需热量，影响局部升温速度。
柯伐合金,Kovar,部件,物料;硬件相关;封装,一种与玻璃、陶瓷膨胀系数匹配的铁镍钴合金，常用于芯片封装引脚。
剪切稀化,假塑性；Shear Thinning,部件,物料;制造工艺;点胶,流体的表观粘度随剪切速率增加而降低的特性，如锡膏、胶水，利于印刷和点胶。
水接触角,Water Contact Angle,部件,CMF;可靠性;测试验证,衡量固体表面疏水性的指标，角度越大越疏水。用于评估涂层效果。
迁移数,Transference Number,部件,硬件相关;电池,在电池中，某种离子所携带的电流与总电流的比值，反映离子导电效率。
离子清洁度,Ionic Cleanliness,部件,PCB;可靠性;测试验证,衡量PCB表面离子污染物含量的指标，单位通常为μg NaCl/cm²，影响绝缘电阻。
塌落直径,Slump Diameter,部件,制造工艺;SMT;锡膏,锡膏印刷后，在预热阶段因流动而扩散的直径变化，用于评估锡膏抗塌陷性能。
天线效率,Antenna Efficiency,部件,硬件相关;通信相关;测试验证,天线辐射功率与输入功率的比值，是衡量天线性能的核心指标。
焊点IMC,Intermetallic Compound,部件,SMT;可靠性;硬件相关,焊料与焊盘金属界面生成的金属间化合物层。适中的IMC厚度是良好焊接的标志，过厚则脆。
扬氏模量,弹性模量；Young's Modulus,部件,物料;结构相关;设计,材料在弹性变形范围内，应力与应变的比值，衡量材料抵抗弹性变形的能力。
黑镍,Black Nickel Plating,部件,外观;制造工艺;可靠性,一种黑色的镍镀层，用于装饰和消光，耐磨性和耐腐蚀性需关注。
断差面,Step Surface,部件,设计;外观;制造工艺,两个相邻表面存在高度差而形成的台阶面，需控制断差大小和均匀性。
焊盘设计,Pad Design,部件,设计;PCB;SMT,PCB焊盘的形状、尺寸和布局设计，直接影响元件的贴装和焊接质量。
引脚共面性,Lead Coplanarity,部件,硬件相关;SMT;制造工艺,多引脚元件所有引脚底部形成的平面与理想平面的偏差，影响焊接良率。
热阻,Thermal Resistance,部件,硬件相关;热管理;可靠性,热量在传递路径上遇到的阻力，衡量器件或材料的散热能力。
玻璃转化温度,"Glass Transition Temperature, Tg",部件,物料;PCB;可靠性,聚合物从玻璃态向高弹态转变的温度。PCB基材的Tg影响其耐热性。
磁导率,Permeability,部件,物料;硬件相关;EMC,衡量材料导磁能力的物理量，用于磁芯和电磁屏蔽材料的选择。
导通电阻,On-Resistance,部件,硬件相关;电气性能,开关器件（如MOSFET）在导通状态下，源极和漏极之间的电阻。
声压级,"Sound Pressure Level, SPL",部件,硬件相关;声学;测试验证,衡量声音强弱的物理量，单位分贝，是扬声器、麦克风的重要指标。
绝缘阻抗,"Insulation Resistance, IR",部件,硬件相关;电气性能;可靠性,衡量绝缘材料阻止电流通过的能力，单位通常为欧姆。
功耗曲线,Power Consumption Profile,部件,软件相关;硬件相关;测试验证,手机在不同工作模式下的功耗随时间变化的曲线。
哑光,Matt Finish,部件,外观;设计,低光泽度的表面效果，不易留下指纹。
火花纹,EDM Texture,部件,外观;设计;制造工艺,通过电火花加工在模具上形成的纹理，可转移至塑胶件表面。
导通孔孔铜,Via Copper Thickness,部件,PCB;制造工艺;可靠性,导通孔内壁铜层的厚度，影响电流承载能力和连接可靠性。
胶体流动性,Adhesive Flowability,部件,物料;制造工艺;点胶,胶水在受力下的流动能力，影响点胶成型和填充效果。
磁饱和,Magnetic Saturation,部件,硬件相关;电气性能,磁性材料的磁化强度不随外磁场增强而显著增加的状态。
镀层孔隙率,Plating Porosity,部件,CMF;可靠性;制造工艺,单位面积镀层中针孔的数量，影响其防护性能。
热插拔次数,Hot-plugging Cycles,部件,硬件相关;可靠性;测试验证,连接器可承受的带电插拔次数，是衡量其寿命的重要指标。
信号完整性,"Signal Integrity, SI",部件,硬件相关;设计;PCB,信号在传输路径上的质量，涉及波形失真、时序、噪声等。
水汽敏感等级,"Moisture Sensitivity Level, MSL",部件,硬件相关;物料;SMT,根据IC封装对潮湿的敏感程度进行的分级，决定拆包后的使用时限和烘烤条件。
塑封体,Mold Compound,部件,物料;半导体;封装,用于封装芯片的环氧树脂塑料材料。
翘曲度,Warpage,部件,结构相关;制造工艺;可靠性,平面部件相对于理想平面的弯曲或扭曲程度量化值。
胶体固化率,Adhesive Cure Rate,部件,物料;制造工艺;点胶,胶水在特定条件下固化的速度。
射频阻抗,RF Impedance,部件,硬件相关;射频相关;PCB,射频传输线的特征阻抗，通常设计为50欧姆以实现阻抗匹配。
胶体Tg点,Adhesive Glass Transition Temperature,部件,物料;可靠性;点胶,胶粘剂的玻璃化转变温度，影响其在不同温度下的力学性能。
邦定强度,Bonding Strength,部件,制造工艺;半导体;可靠性,芯片与基板之间键合（如金线、胶水）的机械强度。
模温均匀性,Mold Temperature Uniformity,部件,制造工艺;注塑,模具不同区域温度的差异程度，影响产品收缩和尺寸一致性。
胶体触变性,Adhesive Thixotropy,部件,物料;制造工艺;点胶,胶体在剪切力作用下粘度减小，静置后粘度恢复的特性，利于成型。
引脚可焊性,Lead Solderability,部件,硬件相关;SMT;物料,元件引脚表面被熔融焊料润湿形成良好焊点的能力。
功率密度,Power Density,部件,硬件相关;热管理;设计,单位体积或单位面积上消耗的功率，是热设计的关键输入。
胶体储存期,Adhesive Shelf Life,部件,物料;制造工艺;点胶,胶水在特定储存条件下保持其使用性能的时间。
LDS天线,激光直接成型天线,部件,制造工艺;通信相关;设计,利用激光在特定塑料上活化出电路图案，然后化学镀金属形成天线。集成度高，适合复杂三维结构。
热界面材料,TIM,部件,物料;热管理;可靠性,填充在发热器件与散热器之间，降低接触热阻的材料，如导热硅脂、相变材料、导热垫片。
差分信号,差动信号,部件,设计;电气性能;通信相关,用一对幅度相等、相位相反的信号来传输信息，抗共模噪声能力强，用于高速接口。
邦定Pad设计,焊盘设计,部件,设计;半导体;封装,芯片上用于键合的铝焊盘或铜焊盘的尺寸、形状和布局设计。
模内装饰薄膜,IML Film,部件,物料;制造工艺;CMF,用于IML工艺的已印刷好图案的薄膜基材。
邦定Pad金属层,焊盘金属化,部件,设计;半导体;封装,芯片键合焊盘上方的金属层（如铝），其厚度和成分影响键合性能。
邦定Pad设计,焊盘设计,部件,设计;半导体;封装,芯片上用于键合的铝焊盘或铜焊盘的尺寸、形状和布局设计。
模内装饰薄膜,IML Film,部件,物料;制造工艺;CMF,用于IML工艺的已印刷好图案的薄膜基材。
邦定Pad金属层,焊盘金属化,部件,设计;半导体;封装,芯片键合焊盘上方的金属层（如铝），其厚度和成分影响键合性能。
Hotspot,热点;局部过热,异常现象,硬件相关;可靠性,手机特定区域（如SoC、充电芯片）温度过高，影响用户体验和安全。
暗角,边缘暗影;Shading,异常现象,摄像头模组;影像相关,照片四角出现亮度低于中心的现象，与镜头光学设计或组装有关。
白点,亮点;White Spot,异常现象,硬件相关;显示相关,显示屏上常亮的白色像素点，属于LCD/OLED的坏点的一种。
爆音,破音;Popping Sound,异常现象,硬件相关;声学,扬声器在特定频率下输出失真，产生刺耳的噼啪声。
变砖,无法开机;系统崩溃;Brick,异常现象,软件相关;硬件相关,手机软件系统严重故障，无法正常启动或使用的状态，通常需强制刷机修复。
波纹,水波纹;Moire,异常现象,显示相关;影像相关,在拍摄特定条纹图案时，因空间频率混叠产生的干扰波纹。
残胶,胶水残留;Glue Residual,异常现象,制造工艺;外观,在点胶或贴合工艺后，多余的胶水残留在产品表面，影响美观和性能。
断触,触摸失灵;Touch Failure,异常现象,硬件相关;人机交互,触摸屏局部或全部失去响应，可能与TP本身、FPC连接或软件驱动有关。
断流,网络中断;Network Disconnection,异常现象,硬件相关;软件相关,在使用Wi-Fi或移动数据时，网络连接意外中断又快速恢复的现象。
发热,过热;Overheat,异常现象,硬件相关;可靠性,手机在充电、高负载运算或信号差时产生的明显温升，影响手感和安全。
发烫,严重发热,异常现象,硬件相关;安全相关,比发热更严重的温度异常，可能预示硬件短路或散热设计缺陷。
反白,亮点反转;White Spot Reverse,异常现象,显示相关,LCD显示屏上出现的异常亮斑，与液晶分子排列异常有关。
飞漆,油漆飞溅;Overspray,异常现象,制造工艺;外观,在喷涂过程中，油漆颗粒溅到非目标区域，造成外观不良。
分色,颜色差异;Color Difference,异常现象,外观;CMF,同一部件或相邻部件之间存在肉眼可察觉的颜色不一致。
腐蚀,生锈;腐蚀;Corrosion,异常现象,可靠性;外观,金属部件因接触汗液、盐雾等腐蚀性物质而发生的化学变化，影响功能和寿命。
干腐,干性腐蚀;Dry Corrosion,异常现象,可靠性;硬件相关,金属在干燥环境下与气体（如氧气）发生化学反应导致的腐蚀。
鼓包,电池鼓包;Battery Swelling,异常现象,硬件相关;安全相关,电池内部产生气体导致外壳膨胀，是严重的安全隐患，需立即停用。
刮伤,划痕;Scratch,异常现象,外观;可靠性,产品表面因摩擦留下的线性痕迹，影响美观，严重时影响功能。
关机,自动关机;Auto Shutdown,异常现象,软件相关;硬件相关,非人为操作导致的手机自动断电，可能与电池、电源管理芯片或系统有关。
龟裂,细微裂纹;Craze Cracks,异常现象,结构相关;可靠性,塑料或涂层表面出现的网状细微裂纹，通常与内应力或老化有关。
黑屏,屏幕不亮;Black Screen,异常现象,显示相关;硬件相关,手机有反应（如振动）但屏幕无任何显示，可能与屏幕、FPC或主板供电有关。
花屏,屏幕花屏;Screen Corruption,异常现象,显示相关;硬件相关,屏幕显示乱码、条纹或色块，通常与显示接口、驱动芯片或内存有关。
划伤,刮伤;Scratch,异常现象,外观;可靠性,产品表面因摩擦留下的线性痕迹，影响美观，严重时影响功能。
黄斑,屏幕黄斑;Yellow Spot,异常现象,显示相关,OLED屏幕局部出现的黄色斑块，可能与封装或材料老化有关。
混光,灯光混合;Light Mixing,异常现象,硬件相关;外观,不同颜色的LED灯光相互干扰，导致光色不纯，常见于指示灯设计。
击穿,电压击穿;Breakdown,异常现象,硬件相关;安全相关,元器件因过电压导致绝缘失效而损坏，如电容击穿、ESD击穿。
积墨,锡膏堆积;Solder Paste Accumulation,异常现象,SMT;制造工艺,钢网开口堵塞或刮刀压力不当导致锡膏印刷后局部过量，易引起连锡。
夹料,材料被夹;Material Pinching,异常现象,制造工艺;结构相关,在装配过程中，线材、FPC等软性材料被外壳或螺丝不当挤压。
假电,虚电;False Power,异常现象,硬件相关;软件相关,手机显示电量充足但迅速关机，通常与电池老化、电量计校准不准有关。
假压,虚压;False Pressure,异常现象,制造工艺;结构相关,螺丝未真正拧紧或扭矩失效，导致连接松动，存在可靠性风险。
胶印,胶水痕迹;Adhesive Mark,异常现象,外观;制造工艺,胶水溢出或擦拭不净，在产品表面留下可见的痕迹。
焦灼,烧焦;Burn Mark,异常现象,硬件相关;可靠性,局部过热导致塑料或PCB碳化变黑，通常为严重故障的表现。
接触不良,接触不稳定;Intermittent Contact,异常现象,硬件相关;电气连接,连接器、开关等因氧化、松动或污染导致时通时断的现象。
结块,胶水结块;Adhesive Lumping,异常现象,制造工艺;物料,胶水在储存或使用前发生部分固化，形成颗粒，影响点胶效果。
卡顿,操作不流畅;Lag,异常现象,软件相关;性能指标,系统或应用响应缓慢，界面动画掉帧，严重影响用户体验。
开胶,脱胶;De-lamination,异常现象,结构相关;制造工艺,粘接的部件之间出现分离，如屏幕开胶、电池盖开胶。
开裂,破裂;Crack,异常现象,结构相关;可靠性,材料或部件出现裂缝，通常由应力过大、材料脆性或冲击导致。
开短路,开路与短路;Open/Short Circuit,异常现象,硬件相关;电气连接,电路两种基本故障模式：开路（断开）和短路（异常连接）。
空焊,未上锡;Non-wetting,异常现象,SMT;制造工艺,元器件引脚或焊盘没有与焊锡形成良好的冶金结合。
孔偏,钻孔偏移;Drilling Offset,异常现象,PCB;制造工艺,PCB上的钻孔位置偏离设计中心，可能导致电气连接不良或短路。
口哨声,啸叫;Whistling Noise,异常现象,硬件相关;声学,电感、变压器等磁性元件在特定频率下振动产生的噪音。
溃缩,压溃变形;Crushing Deformation,异常现象,结构相关;可靠性,材料或结构在压力下发生永久性的压缩变形，失去原有功能。
拉丝,材料拉丝;Stringing,异常现象,制造工艺;外观,在点胶或塑料注塑过程中，材料被拉扯成丝状残留物。
乐音,异音;Abnormal Sound,异常现象,硬件相关;声学,电机、齿轮等运动部件发出的非预期的、不悦耳的噪音。
连锡,锡桥;Solder Bridge,异常现象,SMT;制造工艺,焊锡在相邻的两个焊点之间形成非预期的连接，导致短路。
亮斑,亮点;Bright Spot,异常现象,显示相关,显示屏上常亮的像素点或区域，属于显示缺陷。
亮线,亮线缺陷;Line Defect,异常现象,显示相关,显示屏上出现的异常亮线，通常与驱动线路或屏幕本身损伤有关。
裂纹,裂痕;Crack,异常现象,结构相关;可靠性,材料局部开裂形成的缝隙，可能由应力、疲劳或缺陷引起。
漏光,光泄漏;Light Leakage,异常现象,显示相关;硬件相关,屏幕边框处有非预期的光线射出，影响视觉效果和产品档次感。
漏液,电池漏液;Liquid Leakage,异常现象,硬件相关;安全相关,电池电解液泄漏，具有腐蚀性且可能引发安全问题，是严重不良。
漏码,激光漏打;Missing Laser Marking,异常现象,制造工艺;外观,产品上应有的序列号、Logo等信息未被激光打标或打标不清。
漏贴,元件漏贴;Missing Component,异常现象,SMT;制造工艺,贴片机未能将元器件贴装到PCB指定位置上。
露白,底色显露;Substrate Exposure,异常现象,外观;CMF,喷涂或镀层厚度不足或不均匀，导致底层材料颜色显露出来。
露铜,铜层暴露;Copper Exposure,异常现象,PCB;可靠性,PCB表面的阻焊层破损，导致底层铜箔暴露，易氧化和短路。
乱码,显示乱码;Garbled Characters,异常现象,显示相关;软件相关,屏幕显示的文字或符号变成无法识别的代码，可能与软件或内存有关。
麻点,表面凹点;Pitting,异常现象,外观;制造工艺,产品表面出现的细小凹坑，可能与注塑、喷涂或电镀工艺有关。
毛边,毛刺;Burr,异常现象,制造工艺;外观,金属或塑料件加工后边缘留下的多余材料，影响装配和安全。
毛絮,纤维粉尘;Lint,异常现象,制造工艺;外观,环境中或擦拭布上的纤维绒毛附着在产品表面，影响清洁度。
霉斑,发霉;Mildew,异常现象,可靠性;外观,在高温高湿环境下，有机物表面生长的霉菌斑点。
米粒,锡珠;Solder Ball,异常现象,SMT;制造工艺,回流焊后散布在PCB上的微小锡球，可能引起短路。
模垢,模具污垢;Mold Contamination,异常现象,制造工艺;外观,模具表面的残留物转移到产品上，导致注塑件表面缺陷。
模痕,合模线;Parting Line,异常现象,结构相关;外观,注塑件在模具分型面处产生的轻微痕迹，工艺控制可减轻其明显度。
难拆,拆卸困难;Difficult Disassembly,异常现象,结构相关;维修,产品设计或组装导致维修时难以拆卸，影响可维修性。
尿印,水渍痕;Water Spot,异常现象,外观;制造工艺,清洗或擦拭后留下的水渍或清洗剂痕迹，干燥后形成印迹。
凝露,冷凝水;Condensation,异常现象,可靠性;测试验证,当环境温度骤变，手机内部较冷的表面凝结出水珠，可能导致短路。
抛料,元件抛料;Component Rejection,异常现象,SMT;制造工艺,贴片机识别元件不合格或取料失败后将其丢弃，影响效率和成本。
批锋,毛边;Flash,异常现象,制造工艺;外观,注塑件在模具分型面或顶针处产生的薄边多余料。
偏位,位置偏移;Misalignment,异常现象,制造工艺;SMT,元器件贴装位置偏离焊盘中心，可能引起虚焊或短路。
漂移,参数漂移;Parameter Drift,异常现象,硬件相关;可靠性,元器件参数（如电阻值、时钟频率）随时间或温度发生缓慢变化。
气泡,气泡缺陷;Air Bubble,异常现象,制造工艺;外观,在胶合、贴合或注塑过程中，内部或层间残留的空气泡。
翘曲,变形;Warpage,异常现象,结构相关;可靠性,平板状部件（如PCB、电池盖）发生的弯曲或扭曲变形。
翘脚,引脚翘起;Lifted Lead,异常现象,SMT;制造工艺,元器件引脚未与焊盘接触而翘起，导致开路。
缺胶,胶量不足;Insufficient Adhesive,异常现象,制造工艺;结构相关,点胶量未达到要求，导致粘接强度或密封性能不足。
缺口,边缘缺口;Notch,异常现象,结构相关;外观,材料边缘因磕碰或加工不良形成的V形或U形缺损。
热损,热损伤;Thermal Damage,异常现象,硬件相关;可靠性,元器件因过热导致的不可逆性能劣化或损坏。
熔损,过熔;Solder Melting Loss,异常现象,SMT;制造工艺,过高的温度或过长的加热时间导致焊锡过度流失，焊点不饱满。
色差,颜色差异;Color Difference,异常现象,外观;CMF,同一产品不同批次，或同一批次不同部件之间存在颜色差异。
沙眼,针孔;Pinhole,异常现象,外观;制造工艺,涂层或镀层表面出现的极其细微的孔洞，如同针尖扎过。
闪退,应用崩溃;App Crash,异常现象,软件相关,应用程序在运行过程中突然关闭并返回主界面。
伤盘,焊盘损伤;Pad Damage,异常现象,PCB;维修,PCB焊盘因过度加热、刮擦或多次焊接而脱落或损坏。
失效,功能失效;Failure,异常现象,可靠性,产品失去规定功能的状态。
油污,油渍;Oil Stain,异常现象,外观;制造工艺,产品表面沾染的油脂污渍。
鱼眼,透镜状缺陷;Fish Eye,异常现象,外观;涂层,涂层表面出现的类似鱼眼的圆形凹坑或凸起。
云纹,摩尔纹;Moiré Pattern,异常现象,影像相关,当两个周期性图案（如感光元件像素和景物纹理）重叠时产生的干扰条纹。
脏污,同污点,异常现象,外观;制造工艺,产品表面附着的油污、灰尘等异物。
噪点,图像噪点;Image Noise,异常现象,影像相关,图像中出现的随机颗粒状干扰，在低光照下尤为明显。
自愈,自恢复;Self-recovery,异常现象,软件相关;可靠性,系统发生轻微故障后，能自动恢复正常功能的现象。
