source_term,target_term,confidence,source,note
马达固定结构,磨损颗粒,1.0,suggestion:auto,tags=3; modules=3
OLED面板,黑屏,1.0,suggestion:auto,tags=2; modules=2
马达固定结构,龟裂,1.0,suggestion:auto,tags=2; modules=2
显示驱动芯片,黑屏,1.0,suggestion:auto,tags=2; modules=2
OLED面板,花屏,1.0,suggestion:auto,tags=2; modules=2
背光模组,花屏,1.0,suggestion:auto,tags=2; modules=2
显示驱动芯片,花屏,1.0,suggestion:auto,tags=2; modules=2
电芯,击穿,1.0,suggestion:auto,tags=2; modules=2
保护板,击穿,1.0,suggestion:auto,tags=2; modules=2
过压保护电路,击穿,1.0,suggestion:auto,tags=2; modules=2
过流保护电路,击穿,1.0,suggestion:auto,tags=2; modules=2
均热板,Hotspot,1.0,suggestion:auto,tags=2; modules=2
均热板,焦灼,1.0,suggestion:auto,tags=2; modules=2
热管,焦灼,1.0,suggestion:auto,tags=2; modules=2
马达固定结构,焦灼,1.0,suggestion:auto,tags=2; modules=2
天线触点,接触不良,1.0,suggestion:auto,tags=2; modules=2
射频连接器,接触不良,1.0,suggestion:auto,tags=2; modules=2
USB Type-C接口,接触不良,1.0,suggestion:auto,tags=2; modules=2
闪电接口,接触不良,1.0,suggestion:auto,tags=2; modules=2
SIM卡座,接触不良,1.0,suggestion:auto,tags=2; modules=2
麦克风硅麦,接触不良,1.0,suggestion:auto,tags=2; modules=2
马达固定结构,开裂,1.0,suggestion:auto,tags=2; modules=2
BTB连接器,开短路,1.0,suggestion:auto,tags=2; modules=2
射频连接器,开短路,1.0,suggestion:auto,tags=2; modules=2
Type-C连接器,开短路,1.0,suggestion:auto,tags=2; modules=2
闪电接口,开短路,1.0,suggestion:auto,tags=2; modules=2
pogo pin连接器,开短路,1.0,suggestion:auto,tags=2; modules=2
扬声器BOX,口哨声,1.0,suggestion:auto,tags=2; modules=2
受话器,口哨声,1.0,suggestion:auto,tags=2; modules=2
音频编解码器,口哨声,1.0,suggestion:auto,tags=2; modules=2
扬声器单元,口哨声,1.0,suggestion:auto,tags=2; modules=2
麦克风硅麦,口哨声,1.0,suggestion:auto,tags=2; modules=2
马达固定结构,溃缩,1.0,suggestion:auto,tags=2; modules=2
扬声器BOX,乐音,1.0,suggestion:auto,tags=2; modules=2
受话器,乐音,1.0,suggestion:auto,tags=2; modules=2
音腔,乐音,1.0,suggestion:auto,tags=2; modules=2
3.5mm音频接口,乐音,1.0,suggestion:auto,tags=2; modules=2
马达固定结构,裂纹,1.0,suggestion:auto,tags=2; modules=2
OLED面板,漏光,1.0,suggestion:auto,tags=2; modules=2
显示驱动芯片,漏光,1.0,suggestion:auto,tags=2; modules=2
电芯,漏液,1.0,suggestion:auto,tags=2; modules=2
指纹传感器,漏液,1.0,suggestion:auto,tags=2; modules=2
过压保护电路,漏液,1.0,suggestion:auto,tags=2; modules=2
热管,Hotspot,1.0,suggestion:auto,tags=2; modules=2
高光,露白,1.0,suggestion:auto,tags=2; modules=2
马达固定结构,漂移,1.0,suggestion:auto,tags=2; modules=2
均热板,热损,1.0,suggestion:auto,tags=2; modules=2
玻璃后盖,模痕,1.0,suggestion:auto,tags=2; modules=2
复合板材后盖,模痕,1.0,suggestion:auto,tags=2; modules=2
均热板,漂移,1.0,suggestion:auto,tags=2; modules=2
热管,漂移,1.0,suggestion:auto,tags=2; modules=2
马达固定结构,翘曲,1.0,suggestion:auto,tags=2; modules=2
扬声器单元,爆音,1.0,suggestion:auto,tags=2; modules=2
