source_term,target_term,confidence,source,note
色准调试,分光色度计,1.0,suggestion:auto,tags=3; modules=3
天线阻抗匹配,微波暗室,1.0,suggestion:auto,tags=2; modules=2
天线阻抗匹配,频谱分析仪,1.0,suggestion:auto,tags=2; modules=2
射频校准,矢量网络分析仪,1.0,suggestion:auto,tags=2; modules=2
失效分析,泄漏测试仪,1.0,suggestion:auto,tags=2; modules=2
射频校准,光谱分析仪,1.0,suggestion:auto,tags=2; modules=2
标定,影像质量测试卡,1.0,suggestion:auto,tags=2; modules=2
热等静压,振动控制器,1.0,suggestion:auto,tags=2; modules=2
飞秒激光加工,泄漏测试仪,1.0,suggestion:auto,tags=2; modules=2
粉末注射成型,激光测振仪,1.0,suggestion:auto,tags=2; modules=2
粉末注射成型,振动控制器,1.0,suggestion:auto,tags=2; modules=2
激光焊接,泄漏测试仪,1.0,suggestion:auto,tags=2; modules=2
激光焊接,振动控制器,1.0,suggestion:auto,tags=2; modules=2
飞秒激光加工,振动控制器,1.0,suggestion:auto,tags=2; modules=2
超声波焊接,振动控制器,1.0,suggestion:auto,tags=2; modules=2
原子扩散焊接,泄漏测试仪,1.0,suggestion:auto,tags=2; modules=2
激光熔覆,振动控制器,1.0,suggestion:auto,tags=2; modules=2
激光焊,振动控制器,1.0,suggestion:auto,tags=2; modules=2
模流平衡,模流分析软件,1.0,suggestion:auto,tags=2; modules=2
摩擦搅拌焊,振动控制器,1.0,suggestion:auto,tags=2; modules=2
摩擦搅拌焊,激光测振仪,1.0,suggestion:auto,tags=2; modules=2
电子束焊接,振动控制器,1.0,suggestion:auto,tags=2; modules=2
模内气体辅助,模流分析软件,1.0,suggestion:auto,tags=2; modules=2
色准调试,积分球,1.0,suggestion:auto,tags=2; modules=2
激光熔覆,泄漏测试仪,1.0,suggestion:auto,tags=2; modules=2
失效分析,热重分析仪,1.0,suggestion:auto,tags=2; modules=2
失效分析,聚焦离子束,1.0,suggestion:auto,tags=2; modules=2
色准调试,影像质量测试卡,1.0,suggestion:auto,tags=2; modules=2
失效分析,金相切片,1.0,suggestion:auto,tags=2; modules=2
失效分析,振动控制器,1.0,suggestion:auto,tags=2; modules=2
失效分析,红外热像仪,1.0,suggestion:auto,tags=2; modules=2
标定,积分球,1.0,suggestion:auto,tags=2; modules=2
点胶方案,振动控制器,1.0,suggestion:auto,tags=2; modules=2
失效分析,X射线衍射仪,1.0,suggestion:auto,tags=2; modules=2
失效分析,动态力学分析仪,1.0,suggestion:auto,tags=2; modules=2
根因分析,聚焦离子束,1.0,suggestion:auto,tags=2; modules=2
根因分析,红外热成像仪,1.0,suggestion:auto,tags=2; modules=2
天线阻抗匹配,网络分析仪,1.0,suggestion:auto,tags=2; modules=2
射频校准,射频微波暗室,1.0,suggestion:auto,tags=2; modules=2
射频校准,微波暗室,1.0,suggestion:auto,tags=2; modules=2
根因分析,离子色谱仪,1.0,suggestion:auto,tags=2; modules=2
根因分析,恒温恒湿试验箱,1.0,suggestion:auto,tags=2; modules=2
根因分析,原子力显微镜,1.0,suggestion:auto,tags=2; modules=2
根因分析,泄漏测试仪,1.0,suggestion:auto,tags=2; modules=2
音频调试,消声室,1.0,suggestion:auto,tags=2; modules=2
热仿真分析,热仿真,1.0,suggestion:auto,tags=2; modules=2
点胶方案,泄漏测试仪,1.0,suggestion:auto,tags=2; modules=2
音频调试,人工嘴,1.0,suggestion:auto,tags=2; modules=2
根因分析,能谱仪,1.0,suggestion:auto,tags=2; modules=2
根因分析,扫描电子显微镜,1.0,suggestion:auto,tags=2; modules=2
根因分析,红外热像仪,1.0,suggestion:auto,tags=2; modules=2
射频校准,网络分析仪,1.0,suggestion:auto,tags=2; modules=2
射频校准,综测仪,1.0,suggestion:auto,tags=2; modules=2
传感器校准,磁屏蔽箱,1.0,suggestion:auto,tags=2; modules=2
传感器校准,转台,1.0,suggestion:auto,tags=2; modules=2
天线阻抗匹配,电磁仿真,1.0,suggestion:auto,tags=2; modules=2
天线阻抗匹配,射频微波暗室,1.0,suggestion:auto,tags=2; modules=2
天线阻抗匹配,矢量网络分析仪,1.0,suggestion:auto,tags=2; modules=2
失效分析,俄歇电子能谱仪,1.0,suggestion:auto,tags=2; modules=2
失效分析,二次离子质谱仪,1.0,suggestion:auto,tags=2; modules=2
标定,影像实验室,1.0,suggestion:auto,tags=2; modules=2
失效分析,能谱仪,1.0,suggestion:auto,tags=2; modules=2
标定,分光色度计,1.0,suggestion:auto,tags=2; modules=2
选择性激光熔化,激光测振仪,1.0,suggestion:auto,tags=2; modules=2
选择性激光熔化,振动控制器,1.0,suggestion:auto,tags=2; modules=2
粉末注射成型,泄漏测试仪,1.0,suggestion:auto,tags=2; modules=2
选择性激光熔化,泄漏测试仪,1.0,suggestion:auto,tags=2; modules=2
热等静压,泄漏测试仪,1.0,suggestion:auto,tags=2; modules=2
热等静压,激光测振仪,1.0,suggestion:auto,tags=2; modules=2
根因分析,X射线衍射仪,1.0,suggestion:auto,tags=2; modules=2
失效分析,声学扫描显微镜,1.0,suggestion:auto,tags=2; modules=2
超精密加工,振动控制器,1.0,suggestion:auto,tags=2; modules=2
飞秒激光加工,激光测振仪,1.0,suggestion:auto,tags=2; modules=2
超精密加工,泄漏测试仪,1.0,suggestion:auto,tags=2; modules=2
超精密加工,激光测振仪,1.0,suggestion:auto,tags=2; modules=2
水导激光,激光测振仪,1.0,suggestion:auto,tags=2; modules=2
水导激光,振动控制器,1.0,suggestion:auto,tags=2; modules=2
激光熔覆,激光测振仪,1.0,suggestion:auto,tags=2; modules=2
水导激光,泄漏测试仪,1.0,suggestion:auto,tags=2; modules=2
激光焊,激光测振仪,1.0,suggestion:auto,tags=2; modules=2
色准调试,影像实验室,1.0,suggestion:auto,tags=2; modules=2
冷喷涂,振动控制器,1.0,suggestion:auto,tags=2; modules=2
冷喷涂,激光测振仪,1.0,suggestion:auto,tags=2; modules=2
模流平衡,模流平衡分析,1.0,suggestion:auto,tags=2; modules=2
模流平衡,模流分析,1.0,suggestion:auto,tags=2; modules=2
模流平衡,模流翘曲预测,1.0,suggestion:auto,tags=2; modules=2
模流平衡,模流冷却分析,1.0,suggestion:auto,tags=2; modules=2
激光焊,泄漏测试仪,1.0,suggestion:auto,tags=2; modules=2
纳米注塑,泄漏测试仪,1.0,suggestion:auto,tags=2; modules=2
纳米注塑,激光测振仪,1.0,suggestion:auto,tags=2; modules=2
纳米注塑,振动控制器,1.0,suggestion:auto,tags=2; modules=2
模内气体辅助,模流平衡分析,1.0,suggestion:auto,tags=2; modules=2
模内气体辅助,模流分析,1.0,suggestion:auto,tags=2; modules=2
火花纹,白光干涉仪,1.0,suggestion:auto,tags=2; modules=1
水导激光,三坐标测量机,1.0,suggestion:auto,tags=2; modules=1
火花纹,光学轮廓仪,1.0,suggestion:auto,tags=2; modules=1
火花纹,模流分析软件,1.0,suggestion:auto,tags=2; modules=1
粉末注射成型,三坐标测量机,1.0,suggestion:auto,tags=2; modules=1
火花纹,模流冷却分析,1.0,suggestion:auto,tags=2; modules=1
超精密加工,三坐标测量机,1.0,suggestion:auto,tags=2; modules=1
热等静压,三坐标测量机,1.0,suggestion:auto,tags=2; modules=1
火花纹,模流翘曲预测,1.0,suggestion:auto,tags=2; modules=1
火花纹,模流平衡分析,1.0,suggestion:auto,tags=2; modules=1
火花纹,模流分析,1.0,suggestion:auto,tags=2; modules=1
选择性激光熔化,三坐标测量机,1.0,suggestion:auto,tags=2; modules=1
PVT,自动光学检测设备,1.0,suggestion:auto,tags=2; modules=1
气动压合,光学轮廓仪,1.0,suggestion:auto,tags=2; modules=1
气动压合,X射线检测,1.0,suggestion:auto,tags=2; modules=1
气动压合,模内传感器,1.0,suggestion:auto,tags=2; modules=1
气动压合,治具,1.0,suggestion:auto,tags=2; modules=1
火花纹,模流,1.0,suggestion:auto,tags=2; modules=1
气动压合,模内温度传感器,1.0,suggestion:auto,tags=2; modules=1
气动压合,三坐标测量机,1.0,suggestion:auto,tags=2; modules=1
高压成型,三坐标测量机,1.0,suggestion:auto,tags=2; modules=1
黑镍,白光干涉仪,1.0,suggestion:auto,tags=2; modules=1
气动压合,工装,1.0,suggestion:auto,tags=2; modules=1
NCVM不导电真空镀,白光干涉仪,1.0,suggestion:auto,tags=2; modules=1
黑镍,光学轮廓仪,1.0,suggestion:auto,tags=2; modules=1
IML模内注塑装饰,三坐标测量机,1.0,suggestion:auto,tags=2; modules=1
气动压合,制具,1.0,suggestion:auto,tags=2; modules=1
气动压合,白光干涉仪,1.0,suggestion:auto,tags=2; modules=1
PVT,白光干涉仪,1.0,suggestion:auto,tags=2; modules=1
传感器校准,白光干涉仪,1.0,suggestion:auto,tags=2; modules=1
传感器校准,模内传感器,1.0,suggestion:auto,tags=2; modules=1
传感器校准,三坐标测量机,1.0,suggestion:auto,tags=2; modules=1
传感器校准,自动光学检测设备,1.0,suggestion:auto,tags=2; modules=1
传感器校准,模内温度传感器,1.0,suggestion:auto,tags=2; modules=1
传感器校准,制具,1.0,suggestion:auto,tags=2; modules=1
传感器校准,X射线检测,1.0,suggestion:auto,tags=2; modules=1
热仿真分析,热电偶,1.0,suggestion:auto,tags=2; modules=1
结构强度仿真,激光测振仪,1.0,suggestion:auto,tags=2; modules=1
热仿真分析,热测试基台,1.0,suggestion:auto,tags=2; modules=1
传感器校准,光学轮廓仪,1.0,suggestion:auto,tags=2; modules=1
NCVM不导电真空镀,光学轮廓仪,1.0,suggestion:auto,tags=2; modules=1
气动压合,自动光学检测设备,1.0,suggestion:auto,tags=2; modules=1
飞秒激光加工,三坐标测量机,1.0,suggestion:auto,tags=2; modules=1
音频调试,X射线检测,1.0,suggestion:auto,tags=2; modules=1
音频调试,模内传感器,1.0,suggestion:auto,tags=2; modules=1
音频调试,治具,1.0,suggestion:auto,tags=2; modules=1
音频调试,制具,1.0,suggestion:auto,tags=2; modules=1
音频调试,模内温度传感器,1.0,suggestion:auto,tags=2; modules=1
音频调试,三坐标测量机,1.0,suggestion:auto,tags=2; modules=1
音频调试,光学轮廓仪,1.0,suggestion:auto,tags=2; modules=1
射频校准,自动光学检测设备,1.0,suggestion:auto,tags=2; modules=1
点胶方案,三坐标测量机,1.0,suggestion:auto,tags=2; modules=1
射频校准,白光干涉仪,1.0,suggestion:auto,tags=2; modules=1
热仿真分析,红外热像仪,1.0,suggestion:auto,tags=2; modules=1
热仿真分析,热成像仪,1.0,suggestion:auto,tags=2; modules=1
传感器校准,工装,1.0,suggestion:auto,tags=2; modules=1
PVT,三坐标测量机,1.0,suggestion:auto,tags=2; modules=1
传感器校准,治具,1.0,suggestion:auto,tags=2; modules=1
音频调试,工装,1.0,suggestion:auto,tags=2; modules=1
音频调试,白光干涉仪,1.0,suggestion:auto,tags=2; modules=1
