source_term,target_term,confidence,source,note
热等静压,防水胶,1.0,suggestion:auto,tags=2; modules=2
水导激光,聚氨酯密封胶,1.0,suggestion:auto,tags=2; modules=2
卷对卷加工,液晶聚合物,1.0,suggestion:auto,tags=2; modules=1
卷对卷加工,聚萘二甲酸乙二醇酯,1.0,suggestion:auto,tags=2; modules=1
磁控溅射,模内装饰薄膜,1.0,suggestion:auto,tags=2; modules=1
电化学沉积,玻璃纤维布,1.0,suggestion:auto,tags=2; modules=1
化学镀,玻璃纤维布,1.0,suggestion:auto,tags=2; modules=1
IML模内注塑装饰,模内装饰薄膜,1.0,suggestion:auto,tags=2; modules=1
NCVM不导电真空镀,模内装饰薄膜,1.0,suggestion:auto,tags=2; modules=1
伽马校正,光学胶,1.0,suggestion:auto,tags=2; modules=1
选择性焊接,玻璃纤维布,1.0,suggestion:auto,tags=2; modules=1
卷对卷加工,聚酰亚胺薄膜,1.0,suggestion:auto,tags=2; modules=1
物理气相沉积,模内装饰薄膜,1.0,suggestion:auto,tags=2; modules=1
微弧氧化,模内装饰薄膜,1.0,suggestion:auto,tags=2; modules=1
化学镀镍金,玻璃纤维布,1.0,suggestion:auto,tags=2; modules=1
阳极氧化,模内装饰薄膜,1.0,suggestion:auto,tags=2; modules=1
导通孔树脂塞孔,玻璃纤维布,1.0,suggestion:auto,tags=2; modules=1
UV胶,聚苯硫醚,1.0,suggestion:auto,tags=1; modules=1
UV胶,聚醚醚酮,1.0,suggestion:auto,tags=1; modules=1
黑镍,油墨,1.0,suggestion:auto,tags=1; modules=1
UV胶,聚对苯二甲酸丁二醇酯,1.0,suggestion:auto,tags=1; modules=1
激活,陶瓷基板,1.0,suggestion:auto,tags=1; modules=1
激活,电磁屏蔽泡棉,1.0,suggestion:auto,tags=1; modules=1
UV胶,聚氨酯密封胶,1.0,suggestion:auto,tags=1; modules=1
黑镍,AG防眩光涂层,1.0,suggestion:auto,tags=1; modules=1
激活,磁性形状记忆合金,1.0,suggestion:auto,tags=1; modules=1
激活,电池封装膜,1.0,suggestion:auto,tags=1; modules=1
激活,负极材料,1.0,suggestion:auto,tags=1; modules=1
激活,正极材料,1.0,suggestion:auto,tags=1; modules=1
激光,聚氨酯密封胶,1.0,suggestion:auto,tags=1; modules=1
激光,聚对苯二甲酸丁二醇酯,1.0,suggestion:auto,tags=1; modules=1
黑镍,导热凝胶,1.0,suggestion:auto,tags=1; modules=1
激活,铝碳化硅,1.0,suggestion:auto,tags=1; modules=1
激活,导电布,1.0,suggestion:auto,tags=1; modules=1
SMT,正极材料,1.0,suggestion:auto,tags=1; modules=1
激活,氧化铟锡,1.0,suggestion:auto,tags=1; modules=1
激活,磁性流体,1.0,suggestion:auto,tags=1; modules=1
SMT,负极材料,1.0,suggestion:auto,tags=1; modules=1
黑镍,AF防指纹涂层,1.0,suggestion:auto,tags=1; modules=1
激活,聚四氟乙烯,1.0,suggestion:auto,tags=1; modules=1
激活,低温共烧陶瓷,1.0,suggestion:auto,tags=1; modules=1
SMT,电池封装膜,1.0,suggestion:auto,tags=1; modules=1
激活,激光直接成型材料,1.0,suggestion:auto,tags=1; modules=1
激活,铍铜合金,1.0,suggestion:auto,tags=1; modules=1
SMT,磁性形状记忆合金,1.0,suggestion:auto,tags=1; modules=1
黑镍,声学网布,1.0,suggestion:auto,tags=1; modules=1
黑镍,聚酰亚胺薄膜,1.0,suggestion:auto,tags=1; modules=1
原色,声学网布,1.0,suggestion:auto,tags=1; modules=1
激活,氮化铝陶瓷,1.0,suggestion:auto,tags=1; modules=1
激活,柯伐合金,1.0,suggestion:auto,tags=1; modules=1
SMT,陶瓷基板,1.0,suggestion:auto,tags=1; modules=1
烘烤,散热铜箔,1.0,suggestion:auto,tags=1; modules=1
烘烤,阻焊油墨,1.0,suggestion:auto,tags=1; modules=1
SMT,电磁屏蔽泡棉,1.0,suggestion:auto,tags=1; modules=1
烘烤,PCB板材,1.0,suggestion:auto,tags=1; modules=1
烘烤,微波复合介质基板,1.0,suggestion:auto,tags=1; modules=1
SMT,铝碳化硅,1.0,suggestion:auto,tags=1; modules=1
烘烤,玻璃纤维布,1.0,suggestion:auto,tags=1; modules=1
烘烤,氰酸酯树脂,1.0,suggestion:auto,tags=1; modules=1
SMT,导电布,1.0,suggestion:auto,tags=1; modules=1
黑镍,热界面材料,1.0,suggestion:auto,tags=1; modules=1
分板,散热铜箔,1.0,suggestion:auto,tags=1; modules=1
分板,阻焊油墨,1.0,suggestion:auto,tags=1; modules=1
SMT,氧化铟锡,1.0,suggestion:auto,tags=1; modules=1
分板,PCB板材,1.0,suggestion:auto,tags=1; modules=1
分板,微波复合介质基板,1.0,suggestion:auto,tags=1; modules=1
SMT,磁性流体,1.0,suggestion:auto,tags=1; modules=1
黑镍,导热石墨片,1.0,suggestion:auto,tags=1; modules=1
分板,玻璃纤维布,1.0,suggestion:auto,tags=1; modules=1
分板,氰酸酯树脂,1.0,suggestion:auto,tags=1; modules=1
SMT,聚四氟乙烯,1.0,suggestion:auto,tags=1; modules=1
钝化,正极材料,1.0,suggestion:auto,tags=1; modules=1
钝化,负极材料,1.0,suggestion:auto,tags=1; modules=1
SMT,低温共烧陶瓷,1.0,suggestion:auto,tags=1; modules=1
黑镍,导热硅脂,1.0,suggestion:auto,tags=1; modules=1
原色,油墨,1.0,suggestion:auto,tags=1; modules=1
石磨,油墨,1.0,suggestion:auto,tags=1; modules=1
石磨,PVD镀膜,1.0,suggestion:auto,tags=1; modules=1
钝化,电池封装膜,1.0,suggestion:auto,tags=1; modules=1
钝化,磁性形状记忆合金,1.0,suggestion:auto,tags=1; modules=1
SMT,激光直接成型材料,1.0,suggestion:auto,tags=1; modules=1
钝化,陶瓷基板,1.0,suggestion:auto,tags=1; modules=1
热压,热塑性聚氨酯,1.0,suggestion:auto,tags=1; modules=1
钝化,电磁屏蔽泡棉,1.0,suggestion:auto,tags=1; modules=1
SMT,铍铜合金,1.0,suggestion:auto,tags=1; modules=1
黑镍,防水胶,1.0,suggestion:auto,tags=1; modules=1
热压,聚苯硫醚,1.0,suggestion:auto,tags=1; modules=1
热压,聚醚醚酮,1.0,suggestion:auto,tags=1; modules=1
热压,泡棉,1.0,suggestion:auto,tags=1; modules=1
热压,防水胶,1.0,suggestion:auto,tags=1; modules=1
热压,尼龙,1.0,suggestion:auto,tags=1; modules=1
预压,聚氨酯密封胶,1.0,suggestion:auto,tags=1; modules=1
预压,聚对苯二甲酸丁二醇酯,1.0,suggestion:auto,tags=1; modules=1
预压,聚醚醚酮,1.0,suggestion:auto,tags=1; modules=1
预压,聚苯硫醚,1.0,suggestion:auto,tags=1; modules=1
预压,热塑性聚氨酯,1.0,suggestion:auto,tags=1; modules=1
预压,泡棉,1.0,suggestion:auto,tags=1; modules=1
预压,防水胶,1.0,suggestion:auto,tags=1; modules=1
预压,尼龙,1.0,suggestion:auto,tags=1; modules=1
正压,聚氨酯密封胶,1.0,suggestion:auto,tags=1; modules=1
正压,聚对苯二甲酸丁二醇酯,1.0,suggestion:auto,tags=1; modules=1
正压,聚醚醚酮,1.0,suggestion:auto,tags=1; modules=1
正压,聚苯硫醚,1.0,suggestion:auto,tags=1; modules=1
正压,热塑性聚氨酯,1.0,suggestion:auto,tags=1; modules=1
钝化,铝碳化硅,1.0,suggestion:auto,tags=1; modules=1
