source_term,target_term,confidence,source,note
机械冲击测试,机械疲劳寿命,1.0,suggestion:auto,tags=3; modules=3
可靠性鉴定测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
盐雾测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
落球冲击测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
插拔力测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
弯曲测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
砂尘测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
声学密封测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
跌落测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
白噪声测试,拉拔力,1.0,suggestion:auto,tags=2; modules=2
扭压测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
稳态温度测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
盐雾测试,拉拔力,1.0,suggestion:auto,tags=2; modules=2
稳定性测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
耐磨测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
三综合测试,拉拔力,1.0,suggestion:auto,tags=2; modules=2
高加速寿命测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
加速寿命测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
高加速应力筛选,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
焊点推拉力,拉拔力,1.0,suggestion:auto,tags=2; modules=2
可靠性鉴定测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
板级可靠性,拉拔力,1.0,suggestion:auto,tags=2; modules=2
盐雾测试,天线效率,1.0,suggestion:auto,tags=2; modules=2
电化学阻抗谱,拉拔力,1.0,suggestion:auto,tags=2; modules=2
谐波电流发射,天线效率,1.0,suggestion:auto,tags=2; modules=2
射频传导骚扰,拉拔力,1.0,suggestion:auto,tags=2; modules=2
高温存储测试,天线效率,1.0,suggestion:auto,tags=2; modules=2
辐射骚扰场强,拉拔力,1.0,suggestion:auto,tags=2; modules=2
连接器耐焊接热测试,天线效率,1.0,suggestion:auto,tags=2; modules=2
连接器插拔寿命测试,天线效率,1.0,suggestion:auto,tags=2; modules=2
高加速寿命测试,天线效率,1.0,suggestion:auto,tags=2; modules=2
耐汗液测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
附着力测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
连接器保持力测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
瞬态温度测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
连接器插拔力测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
稳定性测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
连接器插拔寿命测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
声学密封测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
机械冲击测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
跌落测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
插拔力测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
谐波电流发射,水接触角,1.0,suggestion:auto,tags=2; modules=2
高温存储测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
钢球冲击测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
高加速寿命测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
按键寿命测试,硬度,1.0,suggestion:auto,tags=2; modules=2
扭压测试,硬度,1.0,suggestion:auto,tags=2; modules=2
热失重,水接触角,1.0,suggestion:auto,tags=2; modules=2
防水测试,硬度,1.0,suggestion:auto,tags=2; modules=2
弯曲测试,硬度,1.0,suggestion:auto,tags=2; modules=2
跌落测试,硬度,1.0,suggestion:auto,tags=2; modules=2
电容纹波电流测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
钟摆,硬度,1.0,suggestion:auto,tags=2; modules=2
Corner Drop,硬度,1.0,suggestion:auto,tags=2; modules=2
跌落姿态,硬度,1.0,suggestion:auto,tags=2; modules=2
环境应力筛选,时长,1.0,suggestion:auto,tags=2; modules=2
电容纹波电流测试,时长,1.0,suggestion:auto,tags=2; modules=2
可靠性增长测试,时长,1.0,suggestion:auto,tags=2; modules=2
加速寿命测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
ESD,焊点IMC,1.0,suggestion:auto,tags=2; modules=2
烤机,焊点IMC,1.0,suggestion:auto,tags=2; modules=2
瞬态温度测试,时长,1.0,suggestion:auto,tags=2; modules=2
连接器插拔寿命测试,时长,1.0,suggestion:auto,tags=2; modules=2
高加速寿命测试,时长,1.0,suggestion:auto,tags=2; modules=2
加速寿命测试,时长,1.0,suggestion:auto,tags=2; modules=2
高加速应力筛选,时长,1.0,suggestion:auto,tags=2; modules=2
可靠性鉴定测试,时长,1.0,suggestion:auto,tags=2; modules=2
可靠性验收测试,时长,1.0,suggestion:auto,tags=2; modules=2
Drop Test,硬度,1.0,suggestion:auto,tags=2; modules=2
合盖,硬度,1.0,suggestion:auto,tags=2; modules=2
稳态温度测试,时长,1.0,suggestion:auto,tags=2; modules=2
落球冲击测试,硬度,1.0,suggestion:auto,tags=2; modules=2
砂尘测试,硬度,1.0,suggestion:auto,tags=2; modules=2
机械冲击测试,硬度,1.0,suggestion:auto,tags=2; modules=2
烤机,拉拔力,1.0,suggestion:auto,tags=2; modules=2
钢球冲击测试,硬度,1.0,suggestion:auto,tags=2; modules=2
稳定性测试,时长,1.0,suggestion:auto,tags=2; modules=2
连接器插拔力测试,硬度,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,水接触角,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,水接触角,1.0,suggestion:auto,tags=2; modules=2
邦定球剪切测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
落球冲击测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
弯曲测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
砂尘测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
防水测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
老化测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
扭压测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
按键寿命测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
连接器保持力测试,拉拔力,1.0,suggestion:auto,tags=2; modules=2
稳态温度测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
连接器插拔寿命测试,拉拔力,1.0,suggestion:auto,tags=2; modules=2
耐磨测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
高加速寿命测试,拉拔力,1.0,suggestion:auto,tags=2; modules=2
热插拔,拉拔力,1.0,suggestion:auto,tags=2; modules=2
电容纹波电流测试,拉拔力,1.0,suggestion:auto,tags=2; modules=2
磕碰,摩擦,1.0,suggestion:auto,tags=2; modules=2
环境应力筛选,水接触角,1.0,suggestion:auto,tags=2; modules=2
可靠性增长测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
可靠性验收测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
电化学阻抗谱,迁移数,1.0,suggestion:auto,tags=2; modules=2
热失重,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
板级可靠性,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
邦定球剪切测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
按键寿命测试,时长,1.0,suggestion:auto,tags=2; modules=2
