source_term,target_term,confidence,source,note
谐波电流发射,离子色谱仪,1.0,suggestion:auto,tags=2; modules=2
谐波电流发射,振动控制器,1.0,suggestion:auto,tags=2; modules=2
谐波电流发射,扫描电子显微镜,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,离子色谱仪,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,热阻测试仪,1.0,suggestion:auto,tags=2; modules=2
功率循环测试,恒温恒湿试验箱,1.0,suggestion:auto,tags=2; modules=2
谐波电流发射,热阻测试仪,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,俄歇电子能谱仪,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,热阻测试仪,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,动态力学分析仪,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,激光测振仪,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,红外热像仪,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,能谱仪,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,功耗分析仪,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,激光共聚焦显微镜,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,红外热成像仪,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,金相切片,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,高倍率扫描电镜,1.0,suggestion:auto,tags=2; modules=2
Corner Drop,泄漏测试仪,1.0,suggestion:auto,tags=2; modules=2
射频传导骚扰,恒温恒湿试验箱,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,热重分析仪,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,矢量网络分析仪,1.0,suggestion:auto,tags=2; modules=2
板级可靠性,恒温恒湿试验箱,1.0,suggestion:auto,tags=2; modules=2
电化学阻抗谱,恒温恒湿试验箱,1.0,suggestion:auto,tags=2; modules=2
电化学阻抗谱,电池测试系统,1.0,suggestion:auto,tags=2; modules=2
热失重,俄歇电子能谱仪,1.0,suggestion:auto,tags=2; modules=2
热失重,原子力显微镜,1.0,suggestion:auto,tags=2; modules=2
热失重,热阻测试仪,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,光谱分析仪,1.0,suggestion:auto,tags=2; modules=2
热失重,恒温恒湿试验箱,1.0,suggestion:auto,tags=2; modules=2
热失重,振动控制器,1.0,suggestion:auto,tags=2; modules=2
热失重,激光测振仪,1.0,suggestion:auto,tags=2; modules=2
热失重,激光共聚焦显微镜,1.0,suggestion:auto,tags=2; modules=2
热失重,红外热成像仪,1.0,suggestion:auto,tags=2; modules=2
热失重,聚焦离子束,1.0,suggestion:auto,tags=2; modules=2
热失重,超声波扫描显微镜,1.0,suggestion:auto,tags=2; modules=2
热失重,金相切片,1.0,suggestion:auto,tags=2; modules=2
热失重,能谱仪,1.0,suggestion:auto,tags=2; modules=2
ESD,恒温恒湿试验箱,1.0,suggestion:auto,tags=2; modules=2
热失重,声学扫描显微镜,1.0,suggestion:auto,tags=2; modules=2
热失重,高低温循环试验箱,1.0,suggestion:auto,tags=2; modules=2
谐波电流发射,光谱分析仪,1.0,suggestion:auto,tags=2; modules=2
热失重,红外热像仪,1.0,suggestion:auto,tags=2; modules=2
热失重,扫描电子显微镜,1.0,suggestion:auto,tags=2; modules=2
谐波电流发射,绝缘耐压测试仪,1.0,suggestion:auto,tags=2; modules=2
热失重,二次离子质谱仪,1.0,suggestion:auto,tags=2; modules=2
跌落姿态,激光测振仪,1.0,suggestion:auto,tags=2; modules=2
热失重,泄漏测试仪,1.0,suggestion:auto,tags=2; modules=2
焊点推拉力,高低温循环试验箱,1.0,suggestion:auto,tags=2; modules=2
电化学阻抗谱,高低温循环试验箱,1.0,suggestion:auto,tags=2; modules=2
焊点推拉力,恒温恒湿试验箱,1.0,suggestion:auto,tags=2; modules=2
板级可靠性,高低温循环试验箱,1.0,suggestion:auto,tags=2; modules=2
跌落姿态,振动控制器,1.0,suggestion:auto,tags=2; modules=2
射频传导骚扰,高低温循环试验箱,1.0,suggestion:auto,tags=2; modules=2
辐射骚扰场强,高低温循环试验箱,1.0,suggestion:auto,tags=2; modules=2
辐射骚扰场强,恒温恒湿试验箱,1.0,suggestion:auto,tags=2; modules=2
Drop Test,振动控制器,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,聚焦离子束,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,超声波扫描显微镜,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,声学扫描显微镜,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,离子色谱仪,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,振动控制器,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,扫描电子显微镜,1.0,suggestion:auto,tags=2; modules=2
跌落姿态,泄漏测试仪,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,原子力显微镜,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,二次离子质谱仪,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,X射线衍射仪,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,泄漏测试仪,1.0,suggestion:auto,tags=2; modules=2
Corner Drop,振动控制器,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,电池测试系统,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,射频微波暗室,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,高倍率扫描电镜,1.0,suggestion:auto,tags=2; modules=2
盐雾测试,电池测试系统,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,红外热成像仪,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,声学扫描显微镜,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,激光共聚焦显微镜,1.0,suggestion:auto,tags=2; modules=2
盐雾测试,LCR meter,1.0,suggestion:auto,tags=2; modules=2
三综合测试,高低温循环试验箱,1.0,suggestion:auto,tags=2; modules=2
