术语,别名,类别,多标签,备注
恒温恒湿箱,TH Chamber,Tool,工具;测试验证;可靠性,高低温/湿热循环试验，验证环境适应性。
跌落试验机,Drop Tester,Tool,工具;测试验证;可靠性,自由跌落与角边面冲击，验证结构强度。
AA主动对准,Active Alignment,Process,制造工艺;摄像头模组,传感器与镜组六轴主动对准，确保成像质量。
OCR全贴合,液态光学贴合,Process,制造工艺;显示相关,液态胶灌注式屏幕贴合，减少反射提升显示效果。
OCA层压,OCA贴合,Process,制造工艺;显示相关,预涂光学胶片层压工艺，提升透光率和触控性能。
点胶固化,Dispense&Cure,Process,制造工艺;胶粘剂,胶体定量涂布与固化，用于密封和粘接。
老化应力,Burn-in,Process,可靠性;测试验证,高负载运行激发早期失效，筛选不良品。
防水组装,防水堆栈;Waterproof Stack,Process,制造工艺;结构相关,密封圈/胶路/透气膜组合装配，实现防水功能。
EMC整改流程,EMI整改流程,Process,流程相关;EMC,发现→定位→方案→验证闭环，解决电磁兼容问题。
AF成功率测试,AF Success Rate,TestCase,测试验证;影像相关,多光照/景深下对焦成功占比，评估对焦性能。
OIS抗抖测试,OIS Stability,TestCase,测试验证;影像相关,振台位移谱下的成像清晰度，验证防抖效果。
低亮度屏闪测试,PWM可视化,TestCase,测试验证;显示相关,低亮/高频场景频闪判定，评估视觉舒适度。
触控线性测试,Touch Linearity,TestCase,测试验证;显示相关,坐标采样线性偏差评估，验证触控精度。
TRP辐射功率测试,TRP,TestCase,测试验证;射频相关,全向辐射功率指标，评估发射性能。
TIS灵敏度测试,TIS,TestCase,测试验证;射频相关,终端接收灵敏度，评估接收性能。
GPS冷启动测试,GNSS Cold Start,TestCase,测试验证;射频相关,首次定位时间与成功率，评估定位性能。
SNR,信噪比,Metric,性能指标;影像相关,图像/音频/射频信号质量度量，评估信号纯净度。
ΔE,色差ΔE;Color Accuracy,Metric,性能指标;显示相关,与参考色的偏差值，评估色彩准确性。
JNCD,最小可觉差,Metric,性能指标;显示相关,屏幕可感知色准门槛，评估色彩精度。
TRP,总辐射功率,Metric,性能指标;射频相关,终端发射综合能力指标，评估天线性能。
