term,aliases,category,sub_category,tags,definition,example,source,status,updated_at
SAR值超标,SAR Exceedance,Symptom,安全异常,射频相关;异常现象;安全相关;法规,比吸收率超过法规限值对人体电磁辐射吸收过高,SAR测试超标,硬件模块扩展,active,2025-09-26
频率误差,Frequency Error,Symptom,射频异常,射频相关;异常现象;通信相关,发射信号的载波频率偏离标准值,载波频率偏差,硬件模块扩展,active,2025-09-26
调制频谱超标,Modulation Spectrum Fail,Symptom,射频异常,射频相关;异常现象;通信相关;EMC,发射信号的调制频谱超出规范模板,调制频谱不合规,硬件模块扩展,active,2025-09-26
切换失败,Handover Failure,Symptom,网络异常,射频相关;异常现象;通信相关,手机在不同基站或不同制式之间切换时失败,基站切换失败,硬件模块扩展,active,2025-09-26
天线阻抗匹配,Antenna Impedance Matching,Process,射频调试,射频相关;设计;测试验证,通过调整匹配电路使天线阻抗与射频前端输出阻抗共轭匹配实现最大功率传输,天线匹配电路调试,硬件模块扩展,active,2025-09-26
射频校准,RF Calibration,Process,射频校准,射频相关;制造工艺;测试验证,在生产线末端对每个手机的发射功率接收增益等射频参数进行校准使其符合标准,生产线射频校准,硬件模块扩展,active,2025-09-26
综测仪,Comprehensive Tester,Tool,测试设备,射频相关;测试验证;工具,如Keysight安立公司的仪器可模拟基站进行全面的射频和协议一致性测试,射频综合测试仪,硬件模块扩展,active,2025-09-26
网络分析仪,VNA,Tool,测试仪器,射频相关;测试验证;工具,用于测量天线滤波器等无源器件的S参数如回波损耗S11插入损耗S21,矢量网络分析仪,硬件模块扩展,active,2025-09-26
微波暗室,Anechoic Chamber,Tool,测试环境,射频相关;测试验证;工具,内部覆盖吸波材料模拟自由空间环境用于测量天线的辐射性能方向图效率等,射频微波暗室,硬件模块扩展,active,2025-09-26
传导测试,Conducted Test,TestCase,射频测试,射频相关;测试验证;通信相关,通过射频电缆直接连接手机主板和测试仪器排除天线影响测试射频电路的性能,射频传导测试,硬件模块扩展,active,2025-09-26
OTA测试,Over-the-Air Test,TestCase,射频测试,射频相关;测试验证;通信相关,在微波暗室中通过空中接口无线测试整机的辐射功率和接收灵敏度TRP/TIS,空中接口测试,硬件模块扩展,active,2025-09-26
总全向灵敏度,TIS,Metric,,射频相关;性能指标;通信相关,表征手机在整个空间各个方向上接收微弱信号能力的综合指标,接收灵敏度指标,硬件模块扩展,active,2025-09-26
总辐射功率,TRP,Metric,,射频相关;性能指标;通信相关,表征手机在整个空间各个方向上辐射功率能力的综合指标,辐射功率指标,硬件模块扩展,active,2025-09-26
天线效率,Antenna Efficiency,Metric,,射频相关;性能指标;通信相关,天线辐射的功率与输入到天线的功率之比衡量天线将能量转化为电磁波的能力,天线辐射效率,硬件模块扩展,active,2025-09-26
回波损耗,Return Loss,Metric,,射频相关;性能指标;通信相关,表示入射功率被反射回来的比例值越大如-10dB表示匹配越好反射越小,天线回波损耗,硬件模块扩展,active,2025-09-26
驻波比,VSWR,Metric,,射频相关;性能指标;通信相关,衡量阻抗匹配程度的另一个常用指标理想值为1:1,电压驻波比,硬件模块扩展,active,2025-09-26
射频工程师,RF Engineer,Role,工程师,射频相关;设计;硬件相关,负责射频电路和天线的设计仿真调试和性能优化,射频电路设计工程师,硬件模块扩展,active,2025-09-26
天线工程师,Antenna Engineer,Role,工程师,射频相关;设计;硬件相关,专注于天线的设计仿真调试以及与整机结构的协同设计,天线设计工程师,硬件模块扩展,active,2025-09-26
