term,canonical_name,aliases,category,tags,description,source_file,created_at,updated_at
背光,背光,背光模组;Backlight,硬件相关,部件;显示相关,为LCD屏幕提供光源的组件，常见不良有亮度不均、漏光、mura（斑驳）。,manual_import,2025-09-25T10:24:30.839959,2025-09-25T10:24:30.839959
边框,边框,中框;Middle Frame,结构相关,部件;外观,手机的骨架结构，用于固定内部元件，变形或腐蚀会影响整机强度和气密性。,manual_import,2025-09-25T10:24:30.839959,2025-09-25T10:24:30.839959
充电口,充电口,USB-C接口;Type-C Port,硬件相关,部件;电气连接,负责充电和数据传输，常见不良有端口松动、腐蚀、连接不稳定。,manual_import,2025-09-25T10:24:30.839959,2025-09-25T10:24:30.839959
触点,触点,金手指;Contact Pin,硬件相关,部件;电气连接,电池、屏幕等模块上与主板连接的导电触点，氧化或污染会导致接触不良。,manual_import,2025-09-25T10:24:30.839959,2025-09-25T10:24:30.839959
电芯,电芯,电池芯;Battery Cell,硬件相关,部件;安全相关,电池的核心储能部件，其质量直接决定电池的容量、寿命和安全性。,manual_import,2025-09-25T10:24:30.839959,2025-09-25T10:24:30.839959
飞线,飞线,跳线;Jumper Wire,硬件相关,部件;PCB,在PCB上用于临时或永久修复电路连接的导线，影响可靠性和美观。,manual_append,2025-09-25T11:05:20.433327,2025-09-25T11:05:20.433327
盖板,盖板,玻璃盖板;Cover Glass,结构相关,部件;外观,保护屏幕和装饰的前盖玻璃，要求高硬度、抗冲击和良好的光学性能。,manual_append,2025-09-25T11:05:20.433327,2025-09-25T11:05:20.433327
高光,高光,镜面效果;High-Gloss,结构相关,外观;CMF,通过高精度加工得到的镜面般的光泽效果，易出现划伤、橘皮等不良。,manual_append,2025-09-25T11:05:20.433327,2025-09-25T11:05:20.433327
隔磁片,隔磁片,磁性屏蔽片;Magnetic Shielding Sheet,硬件相关,部件;EMC,贴在器件上防止磁场干扰的薄片，粘贴不良或破损会影响无线充电或传感器性能。,manual_append,2025-09-25T11:05:20.433327,2025-09-25T11:05:20.433327
公差,公差,尺寸公差;Tolerance,结构相关,设计;工艺参数,允许的尺寸变动范围，合理的公差设计是保证装配性和功能的关键。,manual_append,2025-09-25T11:05:20.433327,2025-09-25T11:05:20.433327
公母座,公母座,插头与插座;Connector Pair,硬件相关,部件;电气连接,配对的连接器，如USB公座和母座，存在插拔力不良、寿命不足等风险。,manual_append,2025-09-25T11:05:20.433327,2025-09-25T11:05:20.433327
功耗,功耗,功率消耗;Power Consumption,性能指标,硬件相关;软件相关,手机工作时的电能消耗，是衡量续航能力的关键，异常功耗需重点分析。,manual_append,2025-09-25T11:05:20.433327,2025-09-25T11:05:20.433327
光感,光感,环境光传感器;Ambient Light Sensor,硬件相关,部件;传感器,用于自动调节屏幕亮度，被遮挡或失效会导致屏幕亮度调节失常。,manual_append,2025-09-25T11:05:20.433327,2025-09-25T11:05:20.433327
滚轴,滚轴,铰链;Hinge,结构相关,部件;可靠性,折叠屏手机的关键部件，负责屏幕弯折，对疲劳寿命和顺滑度要求极高。,manual_append,2025-09-25T11:05:20.433327,2025-09-25T11:05:20.433327
过孔,过孔,导通孔;Via,硬件相关,PCB;工艺参数,PCB上用于连接不同层电路的孔，孔铜不良会导致开路或可靠性问题。,manual_append,2025-09-25T11:05:20.433327,2025-09-25T11:05:20.433327
焊盘,焊盘,焊点;Pad,硬件相关,PCB;SMT,PCB上用于焊接元件的金属区域，氧化或污染会导致上锡不良、虚焊。,manual_append,2025-09-25T11:05:20.433327,2025-09-25T11:05:20.433327
基带,基带,Baseband,硬件相关,部件;通信相关,负责移动网络信号处理的芯片组，其软件和硬件故障会导致无服务、通话中断。,manual_append,2025-09-25T11:08:06.065467,2025-09-25T11:08:06.065467
基板,基板,衬底;Substrate,硬件相关,部件;PCB,承载芯片和电路的基底材料，如陶瓷基板、BT基板等。,manual_append,2025-09-25T11:08:06.065467,2025-09-25T11:08:06.065467
极耳,极耳,电池极耳; Battery Tab,硬件相关,部件;安全相关,电芯正负极引出的金属带，焊接不良或折断会导致电池无法充电或工作。,manual_append,2025-09-25T11:08:06.065467,2025-09-25T11:08:06.065467
铰链,铰链,转轴;Hinge,结构相关,部件;可靠性,折叠屏手机的核心机构，要求高寿命、顺滑度和稳定性。,manual_append,2025-09-25T11:08:06.065467,2025-09-25T11:08:06.065467
接地点,接地点,接地位置;Grounding Point,硬件相关,EMC;PCB,PCB上用于连接参考电位的点，设计不良会导致EMC问题或信号干扰。,manual_append_batch3,2025-09-25T11:09:26.169920,2025-09-25T11:09:26.169920
金线,金线,键合线;Bonding Wire,硬件相关,部件;封装,芯片封装内部连接芯片焊盘和引线框架的细金属线，断裂会导致开路。,manual_append_batch3,2025-09-25T11:09:26.169920,2025-09-25T11:09:26.169920
晶振,晶振,晶体振荡器;Crystal Oscillator,硬件相关,部件;时钟,提供系统基准时钟信号的元件，失效会导致手机无法开机或功能紊乱。,manual_append_batch3,2025-09-25T11:09:26.169920,2025-09-25T11:09:26.169920
镜座,镜座,镜头座;Lens Holder,结构相关,部件;摄像头模组,固定摄像头镜头的结构件，其加工精度和稳定性直接影响成像质量。,manual_append_batch3,2025-09-25T11:09:26.169920,2025-09-25T11:09:26.169920
卡托,卡托,SIM卡托;SIM Card Tray,结构相关,部件;外观,承载SIM卡和内存卡的可拆卸部件，存在装配不顺、易脱落等风险。,manual_append_batch3,2025-09-25T11:09:26.169920,2025-09-25T11:09:26.169920
拉拔力,拉拔力,插拔力;Insertion/Extraction Force,性能指标,硬件相关;可靠性,将连接器插入或拔出的力，过小导致接触不良，过大会影响用户体验和寿命。,manual_append_batch3,2025-09-25T11:09:26.169920,2025-09-25T11:09:26.169920
良率,良率,yield,性能指标,制造工艺;质量体系,合格品数量与生产总数量的比率，是衡量制造水平的核心指标。,manual_append_remaining,2025-09-25T11:11:49.765999,2025-09-25T11:11:49.765999
马鞍,马鞍,中框马鞍区;Middle Frame Saddle,结构相关,部件;设计,手机中框两侧收窄的区域，是结构强度和信号设计的重点区域。,manual_append_remaining,2025-09-25T11:11:49.765999,2025-09-25T11:11:49.765999
盲孔,盲孔,盲埋孔;Blind Via,硬件相关,PCB;设计,仅连接PCB外层和内层，但不穿透整个板的导通孔，用于高密度布线。,manual_append_remaining,2025-09-25T11:11:49.765999,2025-09-25T11:11:49.765999
门限,门限,阈值;Threshold,性能指标,测试验证;软件相关,触发某种动作或判断合格与否的临界值，如功耗门限、信号强度门限。,manual_append_remaining,2025-09-25T11:11:49.765999,2025-09-25T11:11:49.765999
密封圈,密封圈,密封胶圈;Sealing Ring,结构相关,部件;可靠性,用于防水设计的橡胶或硅胶圈，其压缩量和弹性决定密封效果。,manual_append_remaining,2025-09-25T11:11:49.765999,2025-09-25T11:11:49.765999
膜厚,膜厚,涂层厚度;Coating Thickness,性能指标,CMF;制造工艺,喷涂、电镀等表面处理层的厚度，影响外观、手感和性能。,manual_append_remaining,2025-09-25T11:13:33.667799,2025-09-25T11:13:33.667799
摩擦,摩擦,耐磨性;Abrasion Resistance,性能指标,可靠性;外观,材料表面抵抗刮擦和磨损的能力，通常通过摩擦测试来验证。,manual_append_remaining,2025-09-25T11:13:33.667799,2025-09-25T11:13:33.667799
母排,母排,电池母排;Battery FPC,硬件相关,部件;电气连接,连接电池保护板和电芯的柔性电路板，其设计和可靠性至关重要。,manual_append_remaining,2025-09-25T11:13:33.667799,2025-09-25T11:13:33.667799
内阻,内阻,内部电阻;Internal Resistance,性能指标,硬件相关;电池,电池本身所具有的电阻，内阻增大会导致输出电压下降和发热。,manual_append_remaining,2025-09-25T11:13:33.667799,2025-09-25T11:13:33.667799
粘附,粘附,附着力;Adhesion,性能指标,制造工艺;可靠性,涂层、镀层或胶带与基材之间的结合强度，附着力不足会导致脱落。,manual_append_remaining,2025-09-25T11:13:33.667799,2025-09-25T11:13:33.667799
粘锡,粘锡,焊盘沾锡;Pad Wetting,性能指标,SMT;制造工艺,熔化的焊锡在焊盘上铺展的能力，是形成良好焊点的基础。,manual_append_remaining,2025-09-25T11:13:33.667799,2025-09-25T11:13:33.667799
扭力,扭力,扭矩;Torque,性能指标,工具;结构相关,拧紧螺丝所需的力矩，有规定的标准值，过小或过大都有风险。,manual_append_remaining,2025-09-25T11:13:33.667799,2025-09-25T11:13:33.667799
排线,排线,柔性排线;Flex Cable,硬件相关,部件;电气连接,连接主板与屏幕、摄像头等部件的软性线路，弯折过度易断裂。,manual_append_remaining,2025-09-25T11:13:33.667799,2025-09-25T11:13:33.667799
平顺,平顺,平整度;Flatness,性能指标,结构相关;外观,表面相对于理想平面的偏差程度，影响装配和美观。,manual_append_remaining,2025-09-25T11:13:33.667799,2025-09-25T11:13:33.667799
气密,气密,气密性;Air Tightness,性能指标,结构相关;可靠性,产品防止气体渗透的能力，是防水防尘设计的关键指标。,manual_append_remaining,2025-09-25T11:13:33.667799,2025-09-25T11:13:33.667799
亲水,亲水,亲水性;Hydrophilic,性能指标,CMF;可靠性,材料表面容易被水润湿的特性，与疏水性相对。,manual_append_remaining,2025-09-25T11:13:33.667799,2025-09-25T11:13:33.667799
润湿,润湿,焊锡润湿;Solder Wetting,性能指标,SMT;制造工艺,熔融焊锡在金属表面铺展并形成冶金结合的过程，是良好焊接的前提。,manual_append_complete,2025-09-25T11:15:49.938904,2025-09-25T11:15:49.938904
色牢,色牢,颜色牢固度;Color Fastness,性能指标,CMF;可靠性,涂层、油墨等颜色抵抗光照、摩擦、汗液等作用而保持不褪色的能力。,manual_append_complete,2025-09-25T11:15:49.938904,2025-09-25T11:15:49.938904
上盖,上盖,上壳体;Top Case,结构相关,部件;外观,手机的上半部分外壳。,manual_append_complete,2025-09-25T11:15:49.938904,2025-09-25T11:15:49.938904
上锡,上锡,锡膏覆盖;Solder Coverage,性能指标,SMT;制造工艺,焊盘表面被焊锡覆盖的面积比例，是评估焊接质量的重要指标。,manual_append_complete,2025-09-25T11:15:49.938904,2025-09-25T11:15:49.938904
生耳,生耳,表耳;Lug,结构相关,部件;外观,表带上用于连接表壳的突出部分，在手机上可能指类似结构。,manual_append_complete,2025-09-25T11:15:49.938904,2025-09-25T11:15:49.938904
声腔,声腔,扬声器腔体;Speaker Chamber,结构相关,部件;声学,为扬声器提供共振空间的密封结构，其容积和设计对音质影响很大。,manual_append_complete,2025-09-25T11:15:49.938904,2025-09-25T11:15:49.938904
石磨,石磨,石材纹理;Stone Pattern,CMF,外观;设计,通过工艺模拟天然石材的纹理和质感。,manual_append_complete,2025-09-25T11:15:49.938904,2025-09-25T11:15:49.938904
时长,时长,持续时间;Duration,性能指标,测试验证;可靠性,某项测试持续的时间或产品某项功能的续航时间。,manual_append_complete,2025-09-25T11:15:49.938904,2025-09-25T11:15:49.938904
食人鱼,食人鱼,食人鱼LED;Piranha LED,硬件相关,部件;显示相关,一种亮度高、视角广的LED，常用作指示灯。,manual_append_complete,2025-09-25T11:15:49.938904,2025-09-25T11:15:49.938904
硬度,硬度,材料硬度;Hardness,性能指标,物料;可靠性,材料抵抗硬物压入其表面的能力，如莫氏硬度、铅笔硬度。,manual_append_final,2025-09-25T11:20:17.962195,2025-09-25T11:20:17.962195
有源,有源,有源器件;Active Component,硬件相关,部件;电气性能,需要电源才能正常工作的器件，如芯片、晶体管等。,manual_append_final,2025-09-25T11:20:17.962195,2025-09-25T11:20:17.962195
原色,原色,基底颜色;Base Color,CMF,外观;设计,材料本身的颜色，区别于后期处理（如喷涂）的颜色。,manual_append_final,2025-09-25T11:20:17.962195,2025-09-25T11:20:17.962195
运放,运放,运算放大器;Operational Amplifier,硬件相关,部件;电气性能,用于信号放大的集成电路，其性能影响音频、传感器等信号质量。,manual_append_final,2025-09-25T11:20:17.962195,2025-09-25T11:20:17.962195
增益,增益,天线增益;Antenna Gain,性能指标,硬件相关;通信相关,天线在特定方向上的辐射强度与理想点源天线的比值，影响信号覆盖。,manual_append_final,2025-09-25T11:20:17.962195,2025-09-25T11:20:17.962195
沾锡,沾锡,焊盘沾锡;Pad Wetting,性能指标,SMT;制造工艺,熔化的焊锡在焊盘上铺展的能力，是形成良好焊点的基础。,manual_append_final,2025-09-25T11:20:17.962195,2025-09-25T11:20:17.962195
张力,张力,表面张力;Surface Tension,性能指标,制造工艺;物料,液体表面收缩的力，影响锡膏印刷、点胶、涂布等工艺的成型。,manual_append_final,2025-09-25T11:20:17.962195,2025-09-25T11:20:17.962195
针脚,针脚,元器件引脚;Component Lead,硬件相关,部件;SMT,元器件上用于焊接的金属引脚。,manual_append_final,2025-09-25T11:20:17.962195,2025-09-25T11:20:17.962195
支架,支架,支撑架;Bracket,结构相关,部件;设计,用于支撑和固定其他部件的结构件。,manual_append_final,2025-09-25T11:20:17.962195,2025-09-25T11:20:17.962195
直通,直通,直通率;First Pass Yield,性能指标,制造工艺;质量体系,产品在某一工序一次性通过检验的比率，反映工序能力。,manual_append_final,2025-09-25T11:20:17.962195,2025-09-25T11:20:17.962195
纸箱,纸箱,包装外箱;Carton,结构相关,物料;包装,手机运输和销售的外层纸箱，要求有足够的抗压和抗跌落强度。,manual_append_final,2025-09-25T11:20:17.962195,2025-09-25T11:20:17.962195
质心,质心,重心;Center of Gravity,性能指标,结构相关;设计,产品重力的合力作用点，影响握持手感和跌落姿态。,manual_append_final,2025-09-25T11:20:17.962195,2025-09-25T11:20:17.962195
中框,中框,手机中框;Middle Frame,结构相关,部件;外观,手机的骨架结构，用于固定内部元件，常见材质为金属或塑料。,manual_append_final,2025-09-25T11:20:17.962195,2025-09-25T11:20:17.962195
主摄,主摄,主摄像头;Main Camera,摄像头模组,部件;影像相关,手机多个摄像头中性能最强、最常用的那个摄像头。,manual_append_final,2025-09-25T11:20:17.962195,2025-09-25T11:20:17.962195
驻波,驻波,驻波比;Standing Wave Ratio,性能指标,硬件相关;通信相关,表征天线与馈线匹配程度的指标，驻波比过大意味着信号反射严重。,manual_append_final,2025-09-25T11:20:17.962195,2025-09-25T11:20:17.962195
转轴,转轴,铰链;Hinge,结构相关,部件;可靠性,折叠屏手机的关键部件，负责屏幕弯折，对疲劳寿命和顺滑度要求极高。,manual_append_final,2025-09-25T11:20:17.962195,2025-09-25T11:20:17.962195
追频,追频,频率追踪;Frequency Tracking,硬件相关,无线充电;性能指标,无线充电系统中，根据负载变化动态调整工作频率以保持最佳效率。,manual_append_final,2025-09-25T11:20:17.962195,2025-09-25T11:20:17.962195
自拍,自拍,前置摄像头;Front Camera,摄像头模组,部件;影像相关,用于拍摄用户自己的摄像头，位于手机正面。,manual_append_final,2025-09-25T11:20:17.962195,2025-09-25T11:20:17.962195
阻焊,阻焊,阻焊层;Solder Mask,硬件相关,PCB;设计,覆盖在PCB铜箔上的绿色或其他颜色的绝缘保护层，防止短路和氧化。,manual_append_final,2025-09-25T11:20:17.962195,2025-09-25T11:20:17.962195
座充,座充,座式充电器;Desktop Charger,硬件相关,配件;充电,将手机插入底座进行充电的配件。,manual_append_final,2025-09-25T11:20:17.962195,2025-09-25T11:20:17.962195
座子,座子,连接器插座;Connector Socket,硬件相关,部件;电气连接,固定在PCB上的连接器母端。,manual_append_final,2025-09-25T11:20:17.962195,2025-09-25T11:20:17.962195
SAR,SAR,比吸收率;Specific Absorption Rate,性能指标,安全相关;通信相关,**定义**: 人体吸收电磁能量的速率。 **判定口径**: <2.0 W/kg。 **常见场景**: 手机靠近头部。 **排查路径**: 测试实验室验证。 **对策**: 优化射频发射功率，改善天线布局。,manual_append_detailed,2025-09-25T11:48:07.639056,2025-09-25T11:48:07.639056
热容率,热容率,体积热容,性能指标,物料;热管理,单位体积材料升高单位温度所需热量，影响局部升温速度。,manual_append_large_batch,2025-09-25T11:52:56.383815,2025-09-25T11:52:56.383815
柯伐合金,柯伐合金,Kovar,物料,物料;硬件相关;封装,一种与玻璃、陶瓷膨胀系数匹配的铁镍钴合金，常用于芯片封装引脚。,manual_append_large_batch,2025-09-25T11:52:56.383815,2025-09-25T11:52:56.383815
剪切稀化,剪切稀化,假塑性；Shear Thinning,性能指标,物料;制造工艺;点胶,流体的表观粘度随剪切速率增加而降低的特性，如锡膏、胶水，利于印刷和点胶。,manual_append_large_batch,2025-09-25T11:52:56.383815,2025-09-25T11:52:56.383815
水接触角,水接触角,Water Contact Angle,性能指标,CMF;可靠性;测试验证,衡量固体表面疏水性的指标，角度越大越疏水。用于评估涂层效果。,manual_append_large_batch,2025-09-25T11:52:56.383815,2025-09-25T11:52:56.383815
迁移数,迁移数,Transference Number,性能指标,硬件相关;电池,在电池中，某种离子所携带的电流与总电流的比值，反映离子导电效率。,manual_append_large_batch,2025-09-25T11:52:56.383815,2025-09-25T11:52:56.383815
离子清洁度,离子清洁度,Ionic Cleanliness,性能指标,PCB;可靠性;测试验证,衡量PCB表面离子污染物含量的指标，单位通常为μg NaCl/cm²，影响绝缘电阻。,manual_append_large_batch,2025-09-25T11:52:56.383815,2025-09-25T11:52:56.383815
塌落直径,塌落直径,Slump Diameter,性能指标,制造工艺;SMT;锡膏,锡膏印刷后，在预热阶段因流动而扩散的直径变化，用于评估锡膏抗塌陷性能。,manual_append_large_batch,2025-09-25T11:52:56.383815,2025-09-25T11:52:56.383815
天线效率,天线效率,Antenna Efficiency,性能指标,硬件相关;通信相关;测试验证,天线辐射功率与输入功率的比值，是衡量天线性能的核心指标。,manual_append_large_batch,2025-09-25T11:52:56.383815,2025-09-25T11:52:56.383815
焊点IMC,焊点IMC,Intermetallic Compound,性能指标,SMT;可靠性;硬件相关,焊料与焊盘金属界面生成的金属间化合物层。适中的IMC厚度是良好焊接的标志，过厚则脆。,manual_append_large_batch,2025-09-25T11:52:56.383815,2025-09-25T11:52:56.383815
扬氏模量,扬氏模量,弹性模量；Young's Modulus,性能指标,物料;结构相关;设计,材料在弹性变形范围内，应力与应变的比值，衡量材料抵抗弹性变形的能力。,manual_append_large_batch,2025-09-25T11:52:56.383815,2025-09-25T11:52:56.383815
黑镍,黑镍,Black Nickel Plating,CMF,外观;制造工艺;可靠性,一种黑色的镍镀层，用于装饰和消光，耐磨性和耐腐蚀性需关注。,manual_append_large_batch,2025-09-25T11:52:56.383815,2025-09-25T11:52:56.383815
断差面,断差面,Step Surface,结构相关,设计;外观;制造工艺,两个相邻表面存在高度差而形成的台阶面，需控制断差大小和均匀性。,manual_append_large_batch,2025-09-25T11:52:56.383815,2025-09-25T11:52:56.383815
焊盘设计,焊盘设计,Pad Design,硬件相关,设计;PCB;SMT,PCB焊盘的形状、尺寸和布局设计，直接影响元件的贴装和焊接质量。,manual_append_large_batch,2025-09-25T11:52:56.383815,2025-09-25T11:52:56.383815
引脚共面性,引脚共面性,Lead Coplanarity,性能指标,硬件相关;SMT;制造工艺,多引脚元件所有引脚底部形成的平面与理想平面的偏差，影响焊接良率。,manual_append_large_batch,2025-09-25T11:52:56.383815,2025-09-25T11:52:56.383815
热阻,热阻,Thermal Resistance,性能指标,硬件相关;热管理;可靠性,热量在传递路径上遇到的阻力，衡量器件或材料的散热能力。,manual_append_large_batch,2025-09-25T11:52:56.383815,2025-09-25T11:52:56.383815
玻璃转化温度,玻璃转化温度,"Glass Transition Temperature, Tg",性能指标,物料;PCB;可靠性,聚合物从玻璃态向高弹态转变的温度。PCB基材的Tg影响其耐热性。,manual_append_large_batch,2025-09-25T11:52:56.383815,2025-09-25T11:52:56.383815
磁导率,磁导率,Permeability,性能指标,物料;硬件相关;EMC,衡量材料导磁能力的物理量，用于磁芯和电磁屏蔽材料的选择。,manual_append_large_batch,2025-09-25T11:54:45.737719,2025-09-25T11:54:45.737719
导通电阻,导通电阻,On-Resistance,性能指标,硬件相关;电气性能,开关器件（如MOSFET）在导通状态下，源极和漏极之间的电阻。,manual_append_large_batch,2025-09-25T11:54:45.737719,2025-09-25T11:54:45.737719
声压级,声压级,"Sound Pressure Level, SPL",性能指标,硬件相关;声学;测试验证,衡量声音强弱的物理量，单位分贝，是扬声器、麦克风的重要指标。,manual_append_large_batch,2025-09-25T11:54:45.737719,2025-09-25T11:54:45.737719
绝缘阻抗,绝缘阻抗,"Insulation Resistance, IR",性能指标,硬件相关;电气性能;可靠性,衡量绝缘材料阻止电流通过的能力，单位通常为欧姆。,manual_append_large_batch,2025-09-25T11:54:45.737719,2025-09-25T11:54:45.737719
功耗曲线,功耗曲线,Power Consumption Profile,性能指标,软件相关;硬件相关;测试验证,手机在不同工作模式下的功耗随时间变化的曲线。,manual_append_large_batch,2025-09-25T11:54:45.737719,2025-09-25T11:54:45.737719
哑光,哑光,Matt Finish,CMF,外观;设计,低光泽度的表面效果，不易留下指纹。,manual_append_large_batch,2025-09-25T11:54:45.737719,2025-09-25T11:54:45.737719
火花纹,火花纹,EDM Texture,CMF,外观;设计;制造工艺,通过电火花加工在模具上形成的纹理，可转移至塑胶件表面。,manual_append_large_batch,2025-09-25T11:54:45.737719,2025-09-25T11:54:45.737719
导通孔孔铜,导通孔孔铜,Via Copper Thickness,性能指标,PCB;制造工艺;可靠性,导通孔内壁铜层的厚度，影响电流承载能力和连接可靠性。,manual_append_large_batch,2025-09-25T11:54:45.737719,2025-09-25T11:54:45.737719
胶体流动性,胶体流动性,Adhesive Flowability,性能指标,物料;制造工艺;点胶,胶水在受力下的流动能力，影响点胶成型和填充效果。,manual_append_large_batch,2025-09-25T11:54:45.737719,2025-09-25T11:54:45.737719
磁饱和,磁饱和,Magnetic Saturation,性能指标,硬件相关;电气性能,磁性材料的磁化强度不随外磁场增强而显著增加的状态。,manual_append_large_batch,2025-09-25T11:54:45.737719,2025-09-25T11:54:45.737719
镀层孔隙率,镀层孔隙率,Plating Porosity,性能指标,CMF;可靠性;制造工艺,单位面积镀层中针孔的数量，影响其防护性能。,manual_append_large_batch,2025-09-25T11:54:45.737719,2025-09-25T11:54:45.737719
热插拔次数,热插拔次数,Hot-plugging Cycles,性能指标,硬件相关;可靠性;测试验证,连接器可承受的带电插拔次数，是衡量其寿命的重要指标。,manual_append_large_batch,2025-09-25T11:54:45.737719,2025-09-25T11:54:45.737719
信号完整性,信号完整性,"Signal Integrity, SI",性能指标,硬件相关;设计;PCB,信号在传输路径上的质量，涉及波形失真、时序、噪声等。,manual_append_remaining,2025-09-25T11:58:24.906984,2025-09-25T11:58:24.906984
水汽敏感等级,水汽敏感等级,"Moisture Sensitivity Level, MSL",性能指标,硬件相关;物料;SMT,根据IC封装对潮湿的敏感程度进行的分级，决定拆包后的使用时限和烘烤条件。,manual_append_remaining,2025-09-25T11:58:24.906984,2025-09-25T11:58:24.906984
塑封体,塑封体,Mold Compound,物料,物料;半导体;封装,用于封装芯片的环氧树脂塑料材料。,manual_append_remaining,2025-09-25T11:58:24.906984,2025-09-25T11:58:24.906984
翘曲度,翘曲度,Warpage,性能指标,结构相关;制造工艺;可靠性,平面部件相对于理想平面的弯曲或扭曲程度量化值。,manual_append_remaining,2025-09-25T11:58:24.906984,2025-09-25T11:58:24.906984
胶体固化率,胶体固化率,Adhesive Cure Rate,性能指标,物料;制造工艺;点胶,胶水在特定条件下固化的速度。,manual_append_remaining,2025-09-25T11:58:24.906984,2025-09-25T11:58:24.906984
射频阻抗,射频阻抗,RF Impedance,性能指标,硬件相关;射频相关;PCB,射频传输线的特征阻抗，通常设计为50欧姆以实现阻抗匹配。,manual_append_remaining,2025-09-25T11:58:24.906984,2025-09-25T11:58:24.906984
胶体Tg点,胶体Tg点,Adhesive Glass Transition Temperature,性能指标,物料;可靠性;点胶,胶粘剂的玻璃化转变温度，影响其在不同温度下的力学性能。,manual_append_remaining,2025-09-25T11:58:24.906984,2025-09-25T11:58:24.906984
邦定强度,邦定强度,Bonding Strength,性能指标,制造工艺;半导体;可靠性,芯片与基板之间键合（如金线、胶水）的机械强度。,manual_append_remaining,2025-09-25T11:58:24.906984,2025-09-25T11:58:24.906984
模温均匀性,模温均匀性,Mold Temperature Uniformity,性能指标,制造工艺;注塑,模具不同区域温度的差异程度，影响产品收缩和尺寸一致性。,manual_append_remaining,2025-09-25T11:58:24.906984,2025-09-25T11:58:24.906984
胶体触变性,胶体触变性,Adhesive Thixotropy,性能指标,物料;制造工艺;点胶,胶体在剪切力作用下粘度减小，静置后粘度恢复的特性，利于成型。,manual_append_remaining,2025-09-25T11:58:24.906984,2025-09-25T11:58:24.906984
引脚可焊性,引脚可焊性,Lead Solderability,性能指标,硬件相关;SMT;物料,元件引脚表面被熔融焊料润湿形成良好焊点的能力。,manual_append_remaining,2025-09-25T11:58:24.906984,2025-09-25T11:58:24.906984
功率密度,功率密度,Power Density,性能指标,硬件相关;热管理;设计,单位体积或单位面积上消耗的功率，是热设计的关键输入。,manual_append_remaining,2025-09-25T11:58:24.906984,2025-09-25T11:58:24.906984
胶体储存期,胶体储存期,Adhesive Shelf Life,性能指标,物料;制造工艺;点胶,胶水在特定储存条件下保持其使用性能的时间。,manual_append_remaining,2025-09-25T11:58:24.906984,2025-09-25T11:58:24.906984
