term,canonical_name,aliases,category,tags,description,source_file,created_at,updated_at
浸锡,浸锡,沾锡;Solder Dipping,制造工艺,工艺参数;PCB,将元件引脚浸入熔融焊锡中以实现焊接的工艺。,manual_append_batch3,2025-09-25T11:09:26.173292,2025-09-25T11:09:26.173292
静电袋,静电袋,防静电袋;ESD Bag,工具,物料;ESD,用于包装和运输对静电敏感的元器件。,manual_append_batch3,2025-09-25T11:09:26.173292,2025-09-25T11:09:26.173292
静电环,静电环,防静电手环;ESD Wrist Strap,工具,ESD;制造工艺,操作人员佩戴，将人体静电导入大地，防止损坏电子产品。,manual_append_batch3,2025-09-25T11:09:26.173292,2025-09-25T11:09:26.173292
开口,开口,钢网开口;Stencil Aperture,制造工艺,工具;SMT,钢网上用于让锡膏通过的孔，其尺寸和形状决定了锡膏的印刷量。,manual_append_batch3,2025-09-25T11:09:26.173292,2025-09-25T11:09:26.173292
开炉,开炉,打开回流焊炉;Open Reflow Oven,制造工艺,SMT;操作,生产开始或换线时，启动回流焊炉并确认其状态的过程。,manual_append_batch3,2025-09-25T11:09:26.173292,2025-09-25T11:09:26.173292
开模,开模,模具开启;Mold Opening,制造工艺,工具;结构相关,注塑成型中，模具打开以便取出成型产品的动作。,manual_append_batch3,2025-09-25T11:09:26.173292,2025-09-25T11:09:26.173292
开箱,开箱,拆箱;Unboxing,测试验证,质量体系;项目相关,指OBA（开箱审计），模拟客户首次打开产品包装的体验和检查。,manual_append_batch3,2025-09-25T11:09:26.173292,2025-09-25T11:09:26.173292
烤机,烤机,老化测试;Burn-in Test,测试验证,可靠性;硬件相关,让手机在特定条件下长时间运行，以提前暴露早期失效的元器件。,manual_append_batch3,2025-09-25T11:09:26.173292,2025-09-25T11:09:26.173292
磕碰,磕碰,撞击;Impact,测试验证,可靠性;外观,模拟产品在日常使用中受到的小范围撞击，评估外壳和内部受损情况。,manual_append_batch3,2025-09-25T11:09:26.173292,2025-09-25T11:09:26.173292
可制造性,可制造性,可生产性;Manufacturability,质量体系,设计;制造工艺,产品设计易于高效、低成本、高质量地制造出来的特性。,manual_append_batch3,2025-09-25T11:09:26.173292,2025-09-25T11:09:26.173292
客诉,客诉,客户投诉;Customer Complaint,组织职责,质量体系;项目相关,终端用户或客户对产品质量问题的反馈，是质量改进的重要输入。,manual_append_batch3,2025-09-25T11:09:26.173292,2025-09-25T11:09:26.173292
老化,老化,老化测试;Aging,测试验证,可靠性,使产品在模拟的或强化的使用条件下运行一段时间，以稳定其性能或筛选缺陷。,manual_append_remaining,2025-09-25T11:11:49.768787,2025-09-25T11:11:49.768787
冷屏,冷屏,冷屏点亮;Cold Start Screen,测试验证,显示相关;可靠性,在低温环境下对屏幕进行点亮测试，检查其响应速度和显示效果。,manual_append_remaining,2025-09-25T11:11:49.768787,2025-09-25T11:11:49.768787
料带,料带,载带;Carrier Tape,制造工艺,物料;SMT,用于SMT贴片机供料器上承载元件的塑料带。,manual_append_remaining,2025-09-25T11:11:49.768787,2025-09-25T11:11:49.768787
料号,料号,物料编号;Part Number,工具,物料;项目相关,唯一标识一种物料或部件的编码，是物料管理的基础。,manual_append_remaining,2025-09-25T11:11:49.768787,2025-09-25T11:11:49.768787
美纹纸,美纹纸,和美胶带;Painter's Tape,工具,制造工艺;防护,在喷涂或点胶时用于遮蔽不需要处理的区域。,manual_append_remaining,2025-09-25T11:11:49.768787,2025-09-25T11:11:49.768787
模厂,模厂,模具厂;Mold Factory,组织职责,供应链;制造工艺,负责设计和制造注塑模具的供应商。,manual_append_remaining,2025-09-25T11:11:49.768787,2025-09-25T11:11:49.768787
模切,模切,模具切割;Die Cutting,制造工艺,工艺参数;物料,使用模具对泡棉、胶带等材料进行精密冲切成型。,manual_append_remaining,2025-09-25T11:13:33.672317,2025-09-25T11:13:33.672317
模温,模温,模具温度;Mold Temperature,制造工艺,工艺参数;注塑,注塑过程中模具的温度，影响塑料的流动性和产品的成型质量。,manual_append_remaining,2025-09-25T11:13:33.672317,2025-09-25T11:13:33.672317
模流,模流,模流分析;Mold Flow Analysis,工具,设计;制造工艺,通过软件模拟塑料在模具内的流动、保压、冷却过程，预测潜在缺陷。,manual_append_remaining,2025-09-25T11:13:33.672317,2025-09-25T11:13:33.672317
尼龙,尼龙,尼龙螺丝;Nylon Screw,物料,部件;结构相关,用于绝缘或防松动的塑料螺丝，扭矩控制不当易滑牙或断裂。,manual_append_remaining,2025-09-25T11:13:33.672317,2025-09-25T11:13:33.672317
泡棉,泡棉,导电泡棉;Conductive Foam,物料,部件;EMC,用于填充缝隙、提供缓冲和电磁屏蔽的多孔材料。,manual_append_remaining,2025-09-25T11:13:33.672317,2025-09-25T11:13:33.672317
喷码,喷码,喷墨打标;Inkjet Marking,制造工艺,外观;追溯性,使用喷墨机在产品或标签上打印序列号、生产日期等信息。,manual_append_remaining,2025-09-25T11:13:33.672317,2025-09-25T11:13:33.672317
气吹,气吹,吹气清洁;Air Blowing,制造工艺,操作;清洁,使用压缩气体清除产品表面的灰尘或颗粒物。,manual_append_remaining,2025-09-25T11:13:33.672317,2025-09-25T11:13:33.672317
清尾,清尾,生产线清尾;Line Clearance,制造工艺,流程相关;操作,生产订单结束时，清理生产线上的物料和产品，确保下一订单顺利开始。,manual_append_remaining,2025-09-25T11:13:33.672317,2025-09-25T11:13:33.672317
取放,取放,拾取与放置;Pick and Place,制造工艺,SMT;操作,贴片机从供料器取料并贴装到PCB上的基本动作。,manual_append_remaining,2025-09-25T11:13:33.672317,2025-09-25T11:13:33.672317
圈胶,圈胶,环形点胶;Circular Dispensing,制造工艺,工艺参数;结构相关,以环形轨迹点胶，常用于需要密封的圆形区域。,manual_append_complete,2025-09-25T11:15:49.943642,2025-09-25T11:15:49.943642
确认书,确认书,工程确认书;Engineering Confirmation,流程相关,项目相关;质量体系,对设计变更、样品状态等进行正式确认的文件，作为量产依据。,manual_append_complete,2025-09-25T11:15:49.943642,2025-09-25T11:15:49.943642
热压,热压,热熔;Heat Staking,制造工艺,工艺参数;结构相关,通过加热和压力使塑料柱销变形，从而固定另一个部件。,manual_append_complete,2025-09-25T11:15:49.943642,2025-09-25T11:15:49.943642
热插拔,热插拔,带电插拔;Hot Plug,测试验证,硬件相关;可靠性,在手机开机状态下插入或拔出外设（如U盘），测试接口的耐受性。,manual_append_complete,2025-09-25T11:15:49.943642,2025-09-25T11:15:49.943642
热风,热风,热风枪;Hot Air,工具,维修;SMT,用于维修焊接的工具，通过喷射热空气来熔化焊锡。,manual_append_complete,2025-09-25T11:15:49.943642,2025-09-25T11:15:49.943642
人因,人因,人因工程;Human Factors,质量体系,设计;人机交互,研究人、机器及环境之间相互作用的学科，旨在优化产品易用性和舒适度。,manual_append_complete,2025-09-25T11:15:49.943642,2025-09-25T11:15:49.943642
入网,入网,进网许可;Network Access License,项目相关,流程相关;法规,在中国大陆市场销售蜂窝通信设备必须获得的官方认证。,manual_append_complete,2025-09-25T11:15:49.943642,2025-09-25T11:15:49.943642
三防,三防,防潮、防霉、防盐雾;Three Proofing,测试验证,可靠性,针对恶劣环境（湿热、霉菌、盐雾）的防护性设计和测试。,manual_append_complete,2025-09-25T11:15:49.943642,2025-09-25T11:15:49.943642
上料,上料,物料上料;Loading Material,制造工艺,操作;SMT,将料盘安装到贴片机供料器上的操作。,manual_append_complete,2025-09-25T11:15:49.943642,2025-09-25T11:15:49.943642
设变,设变,设计变更;Design Change,流程相关,项目相关;质量体系,产品开发过程中对已冻结设计的修改，需要严格的流程控制。,manual_append_complete,2025-09-25T11:15:49.943642,2025-09-25T11:15:49.943642
射屏,射屏,屏幕投射;Screen Casting,测试验证,软件相关;功能,将手机屏幕内容无线投射到其他显示设备上的功能测试。,manual_append_complete,2025-09-25T11:15:49.943642,2025-09-25T11:15:49.943642
深色,深色,暗色模式;Dark Mode,软件相关,功能;显示相关,系统界面以深色为主色调的显示模式，有助于节省OLED屏幕功耗。,manual_append_complete,2025-09-25T11:15:49.943642,2025-09-25T11:15:49.943642
油墨,油墨,印刷油墨;Printing Ink,物料,物料;外观,用于丝印、移印等工艺的着色材料，要求附着力、耐磨性好。,manual_append_final,2025-09-25T11:20:17.964194,2025-09-25T11:20:17.964194
预压,预压,预压力;Preload,制造工艺,工艺参数;结构相关,在正式紧固前施加的初始压力，使部件初步就位。,manual_append_final,2025-09-25T11:20:17.964194,2025-09-25T11:20:17.964194
原材,原材,原材料;Raw Material,物料,物料,用于生产产品的基本材料，如塑胶粒、金属板材、化学药水等。,manual_append_final,2025-09-25T11:20:17.964194,2025-09-25T11:20:17.964194
扎带,扎带,束线带;Cable Tie,物料,部件;线缆管理,用于捆扎和固定内部线缆的塑料带。,manual_append_final,2025-09-25T11:20:17.964194,2025-09-25T11:20:17.964194
针床,针床,针床测试架;Bed of Nails Fixture,工具,测试验证;ICT,用于在线测试的多针夹具，可同时接触PCB上多个测试点。,manual_append_final,2025-09-25T11:20:17.964194,2025-09-25T11:20:17.964194
真空,真空,真空吸附;Vacuum Suction,制造工艺,工艺参数;SMT,贴片机利用真空吸嘴抓取元器件的原理。,manual_append_final,2025-09-25T11:20:17.964194,2025-09-25T11:20:17.964194
整机,整机,完整手机;Complete Unit,工具,测试验证;项目相关,指装配完整、可正常工作的手机成品。,manual_append_final,2025-09-25T11:20:17.964194,2025-09-25T11:20:17.964194
正压,正压,正压力;Positive Pressure,制造工艺,工艺参数;结构相关,施加于产品表面的压力，如气密性测试时向密封腔体内充气加压。,manual_append_final,2025-09-25T11:20:17.964194,2025-09-25T11:20:17.964194
制具,制具,同治具,工具,制造工艺;测试验证,在生产或测试中用于定位和固定产品的装置。,manual_append_final,2025-09-25T11:20:17.964194,2025-09-25T11:20:17.964194
治具,治具,夹具;Fixture,工具,制造工艺;测试验证,在生产或测试中用于定位和固定产品的装置，其精度直接影响产品一致性。,manual_append_final,2025-09-25T11:20:17.964194,2025-09-25T11:20:17.964194
钟摆,钟摆,摆动测试;Pendulum Test,测试验证,可靠性;结构相关,模拟手机在背包或口袋中来回摆动，测试其结构和连接的耐久性。,manual_append_final,2025-09-25T11:20:17.964194,2025-09-25T11:20:17.964194
重工,重工,返工;Rework,制造工艺,流程相关;质量体系,对不合格品进行修复处理，使其符合标准要求的活动。,manual_append_final,2025-09-25T11:20:17.964194,2025-09-25T11:20:17.964194
周波,周波,周波数;Cycle,测试验证,可靠性,重复性测试的次数，如按键测试XX万次。,manual_append_final,2025-09-25T11:20:17.964194,2025-09-25T11:20:17.964194
注塑,注塑,注射成型;Injection Molding,制造工艺,工艺参数;结构相关,将熔融塑料注入模具腔体，冷却后得到塑料制品的工艺。,manual_append_final,2025-09-25T11:20:17.964194,2025-09-25T11:20:17.964194
装框,装框,安装边框;Bezel Assembly,制造工艺,操作;结构相关,将屏幕模组安装到中框或前壳上的工序。,manual_append_final,2025-09-25T11:20:17.964194,2025-09-25T11:20:17.964194
资材,资材,物资材料;Materials,组织职责,供应链;物料,泛指生产所需的各类物料和资源。,manual_append_final,2025-09-25T11:20:17.964194,2025-09-25T11:20:17.964194
子料,子料,子物料;Sub-material,物料,物料,构成一个成品或半成品所需的多种物料中的一种。,manual_append_final,2025-09-25T11:20:17.964194,2025-09-25T11:20:17.964194
走纸,走纸,标签纸走纸;Label Paper Feeding,制造工艺,操作;包装,在自动贴标机上，标签纸卷的正常输送。,manual_append_final,2025-09-25T11:20:17.964194,2025-09-25T11:20:17.964194
组包,组包,包装组装;Packing Assembly,制造工艺,操作;包装,将手机、配件、说明书等装入包装盒的最终工序。,manual_append_final,2025-09-25T11:20:17.964194,2025-09-25T11:20:17.964194
钻孔,钻孔,PCB钻孔;Drilling,制造工艺,工艺参数;PCB,在PCB上钻取导通孔、安装孔等，精度要求高。,manual_append_final,2025-09-25T11:20:17.964194,2025-09-25T11:20:17.964194
爆破测试,爆破测试,破坏性压力测试,测试验证,可靠性;安全相关;电池,对电池或密封结构施加远超额定值的压力，直至其破坏，以验证最大承受极限。,manual_append_large_batch,2025-09-25T11:52:56.386816,2025-09-25T11:52:56.386816
金相分析,金相分析,显微组织分析,测试验证,可靠性;物料;制造工艺,通过显微镜观察材料的微观组织结构，分析其工艺质量及失效原因。,manual_append_large_batch,2025-09-25T11:52:56.386816,2025-09-25T11:52:56.386816
邦定胶,邦定胶,Underfill；底部填充胶,制造工艺,工艺参数;SMT;可靠性,用于BGA/CSP芯片底部填充的环氧树脂胶，通过毛细作用流入，增强焊点可靠性。,manual_append_large_batch,2025-09-25T11:52:56.386816,2025-09-25T11:52:56.386816
白噪声测试,白噪声测试,White Noise Test,测试验证,可靠性;声学;硬件相关,向扬声器或麦克风输入全频带白噪声，测试其在宽频带下的工作稳定性和可靠性。,manual_append_large_batch,2025-09-25T11:52:56.386816,2025-09-25T11:52:56.386816
导通孔塞孔,导通孔塞孔,Via Plugging,制造工艺,工艺参数;PCB,用树脂或油墨填充导通孔，以便在孔上布线和焊接，对平整度要求高。,manual_append_large_batch,2025-09-25T11:52:56.386816,2025-09-25T11:52:56.386816
模流平衡,模流平衡,Flow Balance,制造工艺,工艺参数;注塑;设计,注塑时熔料能同时到达并充满模具型腔的各个末端，避免滞流和欠注。,manual_append_large_batch,2025-09-25T11:52:56.386816,2025-09-25T11:52:56.386816
点胶轨迹,点胶轨迹,Dispensing Path,制造工艺,工艺参数;点胶;自动化,点胶机针头运动的路径规划，影响胶水覆盖的准确性和一致性。,manual_append_large_batch,2025-09-25T11:52:56.386816,2025-09-25T11:52:56.386816
等离子处理,等离子处理,Plasma Treatment,制造工艺,工艺参数;表面处理,利用等离子体活化材料表面，显著提高其润湿性和粘接附着力。,manual_append_large_batch,2025-09-25T11:54:45.741002,2025-09-25T11:54:45.741002
溅射镀膜,溅射镀膜,Sputtering Coating,制造工艺,工艺参数;CMF;硬件相关,在真空环境下用离子轰击靶材，使其原子溅射并沉积到工件表面形成薄膜。,manual_append_large_batch,2025-09-25T11:54:45.741002,2025-09-25T11:54:45.741002
模温机,模温机,Mold Temperature Controller,工具,制造工艺;注塑,用于精确控制注塑模具温度的设备，对成型质量至关重要。,manual_append_large_batch,2025-09-25T11:54:45.741002,2025-09-25T11:54:45.741002
热仿真,热仿真,Thermal Simulation,工具,设计;热管理;软件相关,通过计算机软件模拟产品在工作状态下的温度分布和热流情况。,manual_append_large_batch,2025-09-25T11:54:45.741002,2025-09-25T11:54:45.741002
填胶量,填胶量,Encapsulation Volume,制造工艺,工艺参数;可靠性;点胶,对芯片进行包封保护时，注入的胶水体积，需确保完全覆盖且无气泡。,manual_append_large_batch,2025-09-25T11:54:45.741002,2025-09-25T11:54:45.741002
盐雾测试,盐雾测试,Salt Spray Test,测试验证,可靠性;CMF;硬件相关,模拟海洋大气环境，测试产品或材料耐腐蚀性能的加速试验方法。,manual_append_large_batch,2025-09-25T11:54:45.741002,2025-09-25T11:54:45.741002
模内注塑,模内注塑,"In-Mold Molding, IMM",制造工艺,工艺参数;结构相关;装饰,将薄膜或织物放入模具内，注塑时塑料将其包覆成一体，实现装饰效果。,manual_append_large_batch,2025-09-25T11:54:45.741002,2025-09-25T11:54:45.741002
导通孔背钻,导通孔背钻,Back Drilling,制造工艺,工艺参数;PCB;设计,钻掉高速PCB板中不需要的导通孔 stub，以减少信号反射，提升信号完整性。,manual_append_large_batch,2025-09-25T11:54:45.741002,2025-09-25T11:54:45.741002
贴装压力,贴装压力,Placement Pressure,制造工艺,工艺参数;SMT,贴片机贴装元件时，吸嘴对元件施加的压力。压力过大会损伤元件，过小则贴装不稳。,manual_append_large_batch,2025-09-25T11:54:45.741002,2025-09-25T11:54:45.741002
跌落姿态,跌落姿态,Drop Orientation,测试验证,可靠性;结构相关,手机跌落时与冲击面接触的初始角度和部位，对失效模式影响显著。,manual_append_large_batch,2025-09-25T11:54:45.741002,2025-09-25T11:54:45.741002
三综合测试,三综合测试,Combined Environmental Test,测试验证,可靠性;硬件相关,同时施加温度、湿度和振动三种应力，更真实模拟恶劣环境的测试。,manual_append_large_batch,2025-09-25T11:54:45.741002,2025-09-25T11:54:45.741002
JEDEC托盘,JEDEC托盘,JEDEC Tray,工具,物料;SMT;制造工艺,标准化尺寸的塑料托盘，用于运输和贴片机供料。,manual_append_large_batch,2025-09-25T11:54:45.741002,2025-09-25T11:54:45.741002
模仁,模仁,Mold Insert；模具嵌件,工具,制造工艺;注塑,模具中直接形成产品型腔的可更换精密零件。,manual_append_remaining,2025-09-25T11:58:24.910131,2025-09-25T11:58:24.910131
底部填充,底部填充,Underfill,制造工艺,工艺参数;SMT;可靠性,同邦定胶。,manual_append_remaining,2025-09-25T11:58:24.910131,2025-09-25T11:58:24.910131
金丝键合,金丝键合,Gold Wire Bonding,制造工艺,工艺参数;半导体;封装,使用细金线连接芯片焊盘和封装引脚的内互连技术。,manual_append_remaining,2025-09-25T11:58:24.910131,2025-09-25T11:58:24.910131
电磁仿真,电磁仿真,Electromagnetic Simulation,工具,设计;EMC;射频相关,通过计算机软件模拟电磁场的分布和相互作用，用于天线、EMC设计。,manual_append_remaining,2025-09-25T11:58:24.910131,2025-09-25T11:58:24.910131
导通孔阻焊,导通孔阻焊,"Solder Mask over Via, SMV",制造工艺,工艺参数;PCB,在导通孔上覆盖阻焊层，防止焊锡流入。,manual_append_remaining,2025-09-25T11:58:24.910131,2025-09-25T11:58:24.910131
激光焊,激光焊,Laser Welding,制造工艺,工艺参数;结构相关;可靠性,利用高能量激光束作为热源进行熔焊的方法，精度高，热影响区小。,manual_append_remaining,2025-09-25T11:58:24.910131,2025-09-25T11:58:24.910131
