term,canonical_name,aliases,category,tags,description,source_file,created_at,updated_at
模痕,模痕,合模线;Parting Line,异常现象,结构相关;外观,注塑件在模具分型面处产生的轻微痕迹，工艺控制可减轻其明显度。,manual_append_remaining,2025-09-25T11:11:49.766999,2025-09-25T11:11:49.766999
难拆,难拆,拆卸困难;Difficult Disassembly,异常现象,结构相关;维修,产品设计或组装导致维修时难以拆卸，影响可维修性。,manual_append_remaining,2025-09-25T11:13:33.670307,2025-09-25T11:13:33.670307
尿印,尿印,水渍痕;Water Spot,异常现象,外观;制造工艺,清洗或擦拭后留下的水渍或清洗剂痕迹，干燥后形成印迹。,manual_append_remaining,2025-09-25T11:13:33.670307,2025-09-25T11:13:33.670307
凝露,凝露,冷凝水;Condensation,异常现象,可靠性;测试验证,当环境温度骤变，手机内部较冷的表面凝结出水珠，可能导致短路。,manual_append_remaining,2025-09-25T11:13:33.670307,2025-09-25T11:13:33.670307
抛料,抛料,元件抛料;Component Rejection,异常现象,SMT;制造工艺,贴片机识别元件不合格或取料失败后将其丢弃，影响效率和成本。,manual_append_remaining,2025-09-25T11:13:33.670307,2025-09-25T11:13:33.670307
批锋,批锋,毛边;Flash,异常现象,制造工艺;外观,注塑件在模具分型面或顶针处产生的薄边多余料。,manual_append_remaining,2025-09-25T11:13:33.670307,2025-09-25T11:13:33.670307
偏位,偏位,位置偏移;Misalignment,异常现象,制造工艺;SMT,元器件贴装位置偏离焊盘中心，可能引起虚焊或短路。,manual_append_remaining,2025-09-25T11:13:33.670307,2025-09-25T11:13:33.670307
漂移,漂移,参数漂移;Parameter Drift,异常现象,硬件相关;可靠性,元器件参数（如电阻值、时钟频率）随时间或温度发生缓慢变化。,manual_append_remaining,2025-09-25T11:13:33.670307,2025-09-25T11:13:33.670307
气泡,气泡,气泡缺陷;Air Bubble,异常现象,制造工艺;外观,在胶合、贴合或注塑过程中，内部或层间残留的空气泡。,manual_append_remaining,2025-09-25T11:13:33.670307,2025-09-25T11:13:33.670307
翘曲,翘曲,变形;Warpage,异常现象,结构相关;可靠性,平板状部件（如PCB、电池盖）发生的弯曲或扭曲变形。,manual_append_remaining,2025-09-25T11:13:33.670307,2025-09-25T11:13:33.670307
翘脚,翘脚,引脚翘起;Lifted Lead,异常现象,SMT;制造工艺,元器件引脚未与焊盘接触而翘起，导致开路。,manual_append_remaining,2025-09-25T11:13:33.670307,2025-09-25T11:13:33.670307
缺胶,缺胶,胶量不足;Insufficient Adhesive,异常现象,制造工艺;结构相关,点胶量未达到要求，导致粘接强度或密封性能不足。,manual_append_complete,2025-09-25T11:15:49.940903,2025-09-25T11:15:49.940903
缺口,缺口,边缘缺口;Notch,异常现象,结构相关;外观,材料边缘因磕碰或加工不良形成的V形或U形缺损。,manual_append_complete,2025-09-25T11:15:49.940903,2025-09-25T11:15:49.940903
热损,热损,热损伤;Thermal Damage,异常现象,硬件相关;可靠性,元器件因过热导致的不可逆性能劣化或损坏。,manual_append_complete,2025-09-25T11:15:49.940903,2025-09-25T11:15:49.940903
熔损,熔损,过熔;Solder Melting Loss,异常现象,SMT;制造工艺,过高的温度或过长的加热时间导致焊锡过度流失，焊点不饱满。,manual_append_complete,2025-09-25T11:15:49.940903,2025-09-25T11:15:49.940903
色差,色差,颜色差异;Color Difference,异常现象,外观;CMF,同一产品不同批次，或同一批次不同部件之间存在颜色差异。,manual_append_complete,2025-09-25T11:15:49.940903,2025-09-25T11:15:49.940903
沙眼,沙眼,针孔;Pinhole,异常现象,外观;制造工艺,涂层或镀层表面出现的极其细微的孔洞，如同针尖扎过。,manual_append_complete,2025-09-25T11:15:49.940903,2025-09-25T11:15:49.940903
闪退,闪退,应用崩溃;App Crash,异常现象,软件相关,应用程序在运行过程中突然关闭并返回主界面。,manual_append_complete,2025-09-25T11:15:49.940903,2025-09-25T11:15:49.940903
伤盘,伤盘,焊盘损伤;Pad Damage,异常现象,PCB;维修,PCB焊盘因过度加热、刮擦或多次焊接而脱落或损坏。,manual_append_complete,2025-09-25T11:15:49.940903,2025-09-25T11:15:49.940903
失效,失效,功能失效;Failure,异常现象,可靠性,产品失去规定功能的状态。,manual_append_complete,2025-09-25T11:15:49.940903,2025-09-25T11:15:49.940903
油污,油污,油渍;Oil Stain,异常现象,外观;制造工艺,产品表面沾染的油脂污渍。,manual_append_final,2025-09-25T11:20:17.963195,2025-09-25T11:20:17.963195
鱼眼,鱼眼,透镜状缺陷;Fish Eye,异常现象,外观;涂层,涂层表面出现的类似鱼眼的圆形凹坑或凸起。,manual_append_final,2025-09-25T11:20:17.963195,2025-09-25T11:20:17.963195
云纹,云纹,摩尔纹;Moiré Pattern,异常现象,影像相关,当两个周期性图案（如感光元件像素和景物纹理）重叠时产生的干扰条纹。,manual_append_final,2025-09-25T11:20:17.963195,2025-09-25T11:20:17.963195
脏污,脏污,同污点,异常现象,外观;制造工艺,产品表面附着的油污、灰尘等异物。,manual_append_final,2025-09-25T11:20:17.963195,2025-09-25T11:20:17.963195
噪点,噪点,图像噪点;Image Noise,异常现象,影像相关,图像中出现的随机颗粒状干扰，在低光照下尤为明显。,manual_append_final,2025-09-25T11:20:17.963195,2025-09-25T11:20:17.963195
自愈,自愈,自恢复;Self-recovery,异常现象,软件相关;可靠性,系统发生轻微故障后，能自动恢复正常功能的现象。,manual_append_final,2025-09-25T11:20:17.963195,2025-09-25T11:20:17.963195
醉机,醉机,系统错乱;System Confusion,异常现象,软件相关,系统行为异常，功能紊乱，但尚未死机或重启，通常需重启恢复。,manual_append_final,2025-09-25T11:20:17.963195,2025-09-25T11:20:17.963195
对焦失败,对焦失败,无法对焦;Focus Fail,异常现象,影像相关;摄像头模组,**定义**: 摄像头无法正确锁定焦点。 **判定口径**: AF成功率 <95%。 **常见场景**: 暗光/微距/移动拍摄。 **排查路径**: 检查固件→电机→镜头洁净度。 **对策**: 增加AF日志采集，改善模组洁净管控。,manual_append_detailed,2025-09-25T11:48:07.641057,2025-09-25T11:48:07.641057
死机,死机,系统死机;Hang,异常现象,软件相关;硬件相关,**定义**: 系统停止响应。 **判定口径**: 连续无响应 >30s。 **常见场景**: 高并发任务/内存不足。 **排查路径**: 抓取log→检查内存/CPU占用。 **对策**: 优化系统调度，增加watchdog。,manual_append_detailed,2025-09-25T11:48:07.641057,2025-09-25T11:48:07.641057
电流过大,电流过大,Over Current,异常现象,硬件相关;电气性能,**定义**: 工作电流超过额定值。 **判定口径**: 电流 >1.5×额定。 **常见场景**: 充电、射频发射。 **排查路径**: 检查供电→替换IC。 **对策**: 增加过流保护，优化电源管理。,manual_append_detailed,2025-09-25T11:48:07.641057,2025-09-25T11:48:07.641057
短路,短路,Short Circuit,异常现象,硬件相关;电气连接,**定义**: 电路异常导通。 **判定口径**: 电阻 <1Ω。 **常见场景**: PCBA调试。 **排查路径**: 热像定位→逐级隔离。 **对策**: 增加保护设计，加强制程防呆。,manual_append_detailed,2025-09-25T11:48:07.641057,2025-09-25T11:48:07.641057
松脱,松脱,松动;Loose,异常现象,结构相关;可靠性,**定义**: 螺丝/卡扣失去紧固力。 **判定口径**: 力矩 <70% 标准。 **常见场景**: 跌落/运输。 **排查路径**: 检查扭矩记录。 **对策**: 增加锁附监控，改善螺丝工艺。,manual_append_detailed,2025-09-25T11:48:07.641057,2025-09-25T11:48:07.641057
虚焊,虚焊,假焊;Cold Solder,异常现象,SMT;制造工艺,**定义**: 焊点不牢固。 **判定口径**: X-Ray 显示空洞 >20%。 **常见场景**: PCBA生产。 **排查路径**: 检查焊膏→回流工艺。 **对策**: 增强锡膏管理，优化工艺窗口。,manual_append_detailed,2025-09-25T11:48:07.641057,2025-09-25T11:48:07.641057
噪音,噪音,杂音;Noise,异常现象,声学;硬件相关,**定义**: 通话/播放时出现异常声音。 **判定口径**: SNR <20dB。 **常见场景**: 通话/音频播放。 **排查路径**: 检查麦克风→音频IC。 **对策**: 优化声学设计，改善防尘网。,manual_append_detailed,2025-09-25T11:48:07.641057,2025-09-25T11:48:07.641057
亮度不均,亮度不均,屏幕亮度不均;Brightness Uneven,异常现象,显示相关;影像相关,**定义**: 屏幕不同区域亮度差异。 **判定口径**: ΔL/L >20%。 **常见场景**: 灰阶测试。 **排查路径**: 检查背光模组。 **对策**: 改善背光均匀性设计。,manual_append_detailed,2025-09-25T11:48:07.641057,2025-09-25T11:48:07.641057
锌合金模垢,锌合金模垢,锌合金模具沉积物,异常现象,制造工艺;外观,锌合金压铸时，合金元素在模具表面析出形成的污垢，影响铸件表面质量。,manual_append_large_batch,2025-09-25T11:52:56.385815,2025-09-25T11:52:56.385815
爬行腐蚀,爬行腐蚀,creep corrosion,异常现象,可靠性;PCB;硬件相关,在含硫气氛中，银等金属表面生成导电性硫化物绒毛，并在电场下延伸生长，导致短路。,manual_append_large_batch,2025-09-25T11:52:56.385815,2025-09-25T11:52:56.385815
爆米花效应,爆米花效应,popcorning,异常现象,可靠性;SMT;封装,受潮的IC封装在回流焊高温下，内部水分急速汽化导致封装材料开裂。,manual_append_large_batch,2025-09-25T11:52:56.385815,2025-09-25T11:52:56.385815
锡须,锡须,Tin Whisker,异常现象,可靠性;硬件相关;PCB,纯锡镀层表面自发生长的细长锡晶须，可能引起短路。高铅或合金镀层可抑制。,manual_append_large_batch,2025-09-25T11:52:56.385815,2025-09-25T11:52:56.385815
冷焊点,冷焊点,Cold Solder Joint,异常现象,SMT;制造工艺;可靠性,焊点温度不足，焊料未完全熔化，表面粗糙呈灰暗色，连接强度极差。,manual_append_large_batch,2025-09-25T11:52:56.385815,2025-09-25T11:52:56.385815
银迁移,银迁移,Silver Migration,异常现象,可靠性;硬件相关;PCB,在直流电场和湿度作用下，银离子在绝缘体表面迁移析出，导致绝缘下降和短路。,manual_append_large_batch,2025-09-25T11:52:56.385815,2025-09-25T11:52:56.385815
电化学迁移,电化学迁移,ECM,异常现象,可靠性;PCB;硬件相关,详见前表电糊。,manual_append_large_batch,2025-09-25T11:52:56.385815,2025-09-25T11:52:56.385815
缩水痕,缩水痕,Sink Mark,异常现象,制造工艺;注塑;外观,塑胶件在肉厚较大区域因冷却收缩不均而产生的表面凹陷。,manual_append_large_batch,2025-09-25T11:54:45.738719,2025-09-25T11:54:45.738719
焊料球,焊料球,Solder Ball,异常现象,SMT;制造工艺;可靠性,回流焊后，在焊盘周围或器件底部形成的独立小球，是焊接不良的一种。,manual_append_large_batch,2025-09-25T11:54:45.738719,2025-09-25T11:54:45.738719
彩虹纹,彩虹纹,Newton's Rings,异常现象,显示相关;外观;摄像头模组,两层透明材料因微小间隙产生光干涉形成的彩色环状条纹。,manual_append_large_batch,2025-09-25T11:54:45.738719,2025-09-25T11:54:45.738719
引脚浮高,引脚浮高,Lead Lifting,异常现象,SMT;制造工艺;可靠性,元件引脚未与焊盘接触而翘起，通常发生在维修或应力冲击后。,manual_append_large_batch,2025-09-25T11:54:45.738719,2025-09-25T11:54:45.738719
晶振频偏,晶振频偏,Crystal Frequency Deviation,异常现象,硬件相关;可靠性;通信相关,晶体振荡器的实际输出频率偏离其标称频率超出允许范围。,manual_append_large_batch,2025-09-25T11:54:45.738719,2025-09-25T11:54:45.738719
助焊剂残留,助焊剂残留,Flux Residue,异常现象,SMT;制造工艺;可靠性,焊接后残留的助焊剂，若具腐蚀性或影响绝缘，需清洗或使用免清洗型。,manual_append_large_batch,2025-09-25T11:54:45.738719,2025-09-25T11:54:45.738719
焊点疲劳,焊点疲劳,Solder Joint Fatigue,异常现象,可靠性;SMT;硬件相关,焊点在温度循环或机械应力下，因热膨胀系数不匹配而产生的裂纹和失效。,manual_append_remaining,2025-09-25T11:58:24.908846,2025-09-25T11:58:24.908846
模内应力,模内应力,Molded-in Stress,异常现象,制造工艺;注塑;可靠性,塑胶件在注塑成型过程中产生的内应力，是后续变形和开裂的根源。,manual_append_remaining,2025-09-25T11:58:24.908846,2025-09-25T11:58:24.908846
锡瘟,锡瘟,Tin Pest,异常现象,可靠性;物料;硬件相关,纯锡在低温下（<13.2°C）由白锡（β锡）转变为灰锡（α锡）的相变，伴随体积膨胀和粉末化。,manual_append_remaining,2025-09-25T11:58:24.908846,2025-09-25T11:58:24.908846
板翘,板翘,Board Warpage,异常现象,PCB;制造工艺;可靠性,PCB本身的翘曲。,manual_append_remaining,2025-09-25T11:58:24.908846,2025-09-25T11:58:24.908846
电迁移,电迁移,Electromigration,异常现象,可靠性;硬件相关;半导体,集成电路金属互连线中，在高电流密度下金属原子沿电子流方向迁移，导致导线开路或短路。,manual_append_remaining,2025-09-25T11:58:24.908846,2025-09-25T11:58:24.908846
锡珠飞溅,锡珠飞溅,Solder Ball Splashing,异常现象,SMT;制造工艺;可靠性,回流焊时，因预热不足或助焊剂沸腾导致锡膏中的锡珠飞散到焊盘外。,manual_append_remaining,2025-09-25T11:58:24.908846,2025-09-25T11:58:24.908846
板边毛刺,板边毛刺,Board Edge Burr,异常现象,PCB;制造工艺;外观,PCB分板后边缘产生的突出物。,manual_append_remaining,2025-09-25T11:58:24.908846,2025-09-25T11:58:24.908846
触控失灵,触控失灵,触摸屏无响应;Touch Fail,异常现象,显示相关;人机交互,**定义**: 触摸操作无效或延迟。 **判定口径**: 单点/多点触控测试失败。 **常见场景**: 高湿环境、屏幕贴膜。 **排查路径**: 检查TP模组→固件→驱动IC。 **对策**: 优化算法，改善屏幕贴合。,manual_append_detailed,2025-09-25T12:08:51.500167,2025-09-25T12:08:51.500167
信号弱,信号弱,信号差;Low Signal,异常现象,通信相关;用户体验,**定义**: 手机在正常网络环境下信号强度不足。 **判定口径**: RSRP < -110dBm。 **常见场景**: 地铁、地下室。 **排查路径**: 检查天线设计→射频通道。 **对策**: 优化天线布局，增加功放。,manual_append_detailed,2025-09-25T12:08:51.500167,2025-09-25T12:08:51.500167
通话掉线,通话掉线,Call Drop,异常现象,通信相关;用户体验,**定义**: 通话过程中意外中断。 **判定口径**: 掉话率 >2%。 **常见场景**: 移动场景、弱覆盖。 **排查路径**: 抓取log→检查协议栈→网络条件。 **对策**: 优化射频功率控制，改善切换策略。,manual_append_detailed,2025-09-25T12:08:51.500167,2025-09-25T12:08:51.500167
充电慢,充电慢,慢充;Slow Charging,异常现象,电池;硬件相关,**定义**: 充电速率低于设计值。 **判定口径**: 充电电流 < 额定值 70%。 **常见场景**: 使用非原装充电器。 **排查路径**: 检查充电IC→协议识别。 **对策**: 增加兼容性测试，优化协议栈。,manual_append_detailed,2025-09-25T12:08:51.500167,2025-09-25T12:08:51.500167
