term,aliases,category,tags,note,source,version
膜厚,Coating Thickness;涂层厚度,Metric,CMF;制造工艺,喷涂、电镀等表面处理层的厚度，影响外观、手感和性能。,dictionary_v1,2025-09-28
摩擦,Abrasion Resistance;耐磨性,Metric,可靠性;外观,材料表面抵抗刮擦和磨损的能力，通常通过摩擦测试来验证。,dictionary_v1,2025-09-28
母排,Battery FPC;电池母排,Component,电气连接;部件,连接电池保护板和电芯的柔性电路板，其设计和可靠性至关重要。,dictionary_v1,2025-09-28
内阻,Internal Resistance;内部电阻,Metric,电池;硬件相关,电池本身所具有的电阻，内阻增大会导致输出电压下降和发热。,dictionary_v1,2025-09-28
粘附,Adhesion;附着力,Metric,制造工艺;可靠性,涂层、镀层或胶带与基材之间的结合强度，附着力不足会导致脱落。,dictionary_v1,2025-09-28
粘锡,Pad Wetting;焊盘沾锡,Metric,SMT;制造工艺,熔化的焊锡在焊盘上铺展的能力，是形成良好焊点的基础。,dictionary_v1,2025-09-28
扭力,Torque;扭矩,Metric,工具;结构相关,拧紧螺丝所需的力矩，有规定的标准值，过小或过大都有风险。,dictionary_v1,2025-09-28
排线,Flex Cable;柔性排线,Component,电气连接;部件,连接主板与屏幕、摄像头等部件的软性线路，弯折过度易断裂。,dictionary_v1,2025-09-28
平顺,平整度;Flatness,Metric,外观;结构相关,表面相对于理想平面的偏差程度，影响装配和美观。,dictionary_v1,2025-09-28
气密,Air Tightness;气密性,Metric,可靠性;结构相关,产品防止气体渗透的能力，是防水防尘设计的关键指标。,dictionary_v1,2025-09-28
亲水,Hydrophilic;亲水性,Metric,CMF;可靠性,材料表面容易被水润湿的特性，与疏水性相对。,dictionary_v1,2025-09-28
润湿,Solder Wetting;焊锡润湿,Metric,SMT;制造工艺,熔融焊锡在金属表面铺展并形成冶金结合的过程，是良好焊接的前提。,dictionary_v1,2025-09-28
色牢,Color Fastness;颜色牢固度,Metric,CMF;可靠性,涂层、油墨等颜色抵抗光照、摩擦、汗液等作用而保持不褪色的能力。,dictionary_v1,2025-09-28
上盖,上壳体;Top Case,Component,外观;部件,手机的上半部分外壳。,dictionary_v1,2025-09-28
上锡,锡膏覆盖;Solder Coverage,Metric,SMT;制造工艺,焊盘表面被焊锡覆盖的面积比例，是评估焊接质量的重要指标。,dictionary_v1,2025-09-28
生耳,表耳;Lug,Component,外观;部件,表带上用于连接表壳的突出部分，在手机上可能指类似结构。,dictionary_v1,2025-09-28
声腔,扬声器腔体;Speaker Chamber,Component,声学;部件,为扬声器提供共振空间的密封结构，其容积和设计对音质影响很大。,dictionary_v1,2025-09-28
石磨,Stone Pattern;石材纹理,Process,外观;设计,通过工艺模拟天然石材的纹理和质感。,dictionary_v1,2025-09-28
时长,持续时间;Duration,Metric,可靠性;测试验证,某项测试持续的时间或产品某项功能的续航时间。,dictionary_v1,2025-09-28
食人鱼,Piranha LED;食人鱼LED,Component,显示相关;部件,一种亮度高、视角广的LED，常用作指示灯。,dictionary_v1,2025-09-28
硬度,Hardness;材料硬度,Metric,可靠性;物料;结构相关,材料抵抗硬物压入其表面的能力，如莫氏硬度、铅笔硬度。,dictionary_v1,2025-09-28
有源,有源器件;Active Component,Component,电气性能;部件,需要电源才能正常工作的器件，如芯片、晶体管等。,dictionary_v1,2025-09-28
原色,Base Color;基底颜色,Process,外观;设计,材料本身的颜色，区别于后期处理（如喷涂）的颜色。,dictionary_v1,2025-09-28
运放,运算放大器;Operational Amplifier,Component,电气性能;部件,用于信号放大的集成电路，其性能影响音频、传感器等信号质量。,dictionary_v1,2025-09-28
增益,Antenna Gain;天线增益,Metric,硬件相关;通信相关,天线在特定方向上的辐射强度与理想点源天线的比值，影响信号覆盖。,dictionary_v1,2025-09-28
沾锡,Pad Wetting;焊盘沾锡,Metric,SMT;制造工艺,熔化的焊锡在焊盘上铺展的能力，是形成良好焊点的基础。,dictionary_v1,2025-09-28
张力,表面张力;Surface Tension,Metric,制造工艺;物料,液体表面收缩的力，影响锡膏印刷、点胶、涂布等工艺的成型。,dictionary_v1,2025-09-28
针脚,Component Lead;元器件引脚,Component,SMT;部件,元器件上用于焊接的金属引脚。,dictionary_v1,2025-09-28
支架,支撑架;Bracket,Component,设计;部件,用于支撑和固定其他部件的结构件。,dictionary_v1,2025-09-28
直通,First Pass Yield;直通率,Metric,制造工艺;质量体系,产品在某一工序一次性通过检验的比率，反映工序能力。,dictionary_v1,2025-09-28
纸箱,Carton;包装外箱,Component,包装;物料,手机运输和销售的外层纸箱，要求有足够的抗压和抗跌落强度。,dictionary_v1,2025-09-28
质心,Center of Gravity;重心,Metric,结构相关;设计,产品重力的合力作用点，影响握持手感和跌落姿态。,dictionary_v1,2025-09-28
中框,手机中框;Middle Frame,Component,外观;部件,手机的骨架结构，用于固定内部元件，常见材质为金属或塑料。,dictionary_v1,2025-09-28
主摄,主摄像头;Main Camera,Component,影像相关;部件,手机多个摄像头中性能最强、最常用的那个摄像头。,dictionary_v1,2025-09-28
驻波,驻波比;Standing Wave Ratio,Metric,硬件相关;通信相关,表征天线与馈线匹配程度的指标，驻波比过大意味着信号反射严重。,dictionary_v1,2025-09-28
转轴,Hinge;铰链,Component,可靠性;部件,折叠屏手机的关键部件，负责屏幕弯折，对疲劳寿命和顺滑度要求极高。,dictionary_v1,2025-09-28
追频,Frequency Tracking;频率追踪,Component,性能指标;无线充电,无线充电系统中，根据负载变化动态调整工作频率以保持最佳效率。,dictionary_v1,2025-09-28
自拍,前置摄像头;Front Camera,Component,影像相关;部件,用于拍摄用户自己的摄像头，位于手机正面。,dictionary_v1,2025-09-28
阻焊,阻焊层;Solder Mask,Component,PCB;设计,覆盖在PCB铜箔上的绿色或其他颜色的绝缘保护层，防止短路和氧化。,dictionary_v1,2025-09-28
座充,座式充电器;Desktop Charger,Component,充电;配件,将手机插入底座进行充电的配件。,dictionary_v1,2025-09-28
座子,连接器插座;Connector Socket,Component,电气连接;部件,固定在PCB上的连接器母端。,dictionary_v1,2025-09-28
SAR,Specific Absorption Rate;比吸收率,Metric,安全相关;通信相关,**定义**: 人体吸收电磁能量的速率。 **判定口径**: <2.0 W/kg。 **常见场景**: 手机靠近头部。 **排查路径**: 测试实验室验证。 **对策**: 优化射频发射功率，改善天线布局。,dictionary_v1,2025-09-28
热容率,体积热容,Metric,热管理;物料,单位体积材料升高单位温度所需热量，影响局部升温速度。,dictionary_v1,2025-09-28
柯伐合金,Kovar,Material,封装;物料;硬件相关,一种与玻璃、陶瓷膨胀系数匹配的铁镍钴合金，常用于芯片封装引脚。,dictionary_v1,2025-09-28
剪切稀化,假塑性;Shear Thinning,Metric,制造工艺;点胶;物料,流体的表观粘度随剪切速率增加而降低的特性，如锡膏、胶水，利于印刷和点胶。,dictionary_v1,2025-09-28
水接触角,Water Contact Angle,Metric,CMF;可靠性;测试验证,衡量固体表面疏水性的指标，角度越大越疏水。用于评估涂层效果。,dictionary_v1,2025-09-28
迁移数,Transference Number,Metric,电池;硬件相关,在电池中，某种离子所携带的电流与总电流的比值，反映离子导电效率。,dictionary_v1,2025-09-28
离子清洁度,Ionic Cleanliness,Metric,PCB;可靠性;测试验证,衡量PCB表面离子污染物含量的指标，单位通常为μg NaCl/cm²，影响绝缘电阻。,dictionary_v1,2025-09-28
塌落直径,Slump Diameter,Metric,SMT;制造工艺;锡膏,锡膏印刷后，在预热阶段因流动而扩散的直径变化，用于评估锡膏抗塌陷性能。,dictionary_v1,2025-09-28
天线效率,Antenna Efficiency,Metric,射频相关;性能指标;测试验证;硬件相关;通信相关,天线辐射的功率与输入到天线的功率之比衡量天线将能量转化为电磁波的能力,dictionary_v1,2025-09-28
焊点IMC,Intermetallic Compound,Metric,SMT;可靠性;硬件相关,焊料与焊盘金属界面生成的金属间化合物层。适中的IMC厚度是良好焊接的标志，过厚则脆。,dictionary_v1,2025-09-28
扬氏模量,弹性模量,Metric,物料;结构相关;设计,材料在弹性变形范围内，应力与应变的比值，衡量材料抵抗弹性变形的能力。,dictionary_v1,2025-09-28
黑镍,Black Nickel Plating,Process,制造工艺;可靠性;外观,一种黑色的镍镀层，用于装饰和消光，耐磨性和耐腐蚀性需关注。,dictionary_v1,2025-09-28
断差面,Step Surface,Component,制造工艺;外观;设计,两个相邻表面存在高度差而形成的台阶面，需控制断差大小和均匀性。,dictionary_v1,2025-09-28
焊盘设计,Pad Design,Component,PCB;SMT;设计,PCB焊盘的形状、尺寸和布局设计，直接影响元件的贴装和焊接质量。,dictionary_v1,2025-09-28
引脚共面性,Lead Coplanarity,Metric,SMT;制造工艺;硬件相关,多引脚元件所有引脚底部形成的平面与理想平面的偏差，影响焊接良率。,dictionary_v1,2025-09-28
热阻,Thermal Resistance,Metric,可靠性;性能指标;热管理;硬件相关,热量在传递路径上遇到的阻力，衡量器件或材料的散热能力。,dictionary_v1,2025-09-28
玻璃转化温度,Tg;Glass Transition Temperature,Metric,PCB;可靠性;物料,聚合物从玻璃态向高弹态转变的温度。PCB基材的Tg影响其耐热性。,dictionary_v1,2025-09-28
磁导率,磁导系数;Permeability,Metric,EMC;物料;电气性能;硬件相关,衡量材料导磁能力的物理量，用于磁芯和电磁屏蔽材料的选择。,dictionary_v1,2025-09-28
导通电阻,On-Resistance,Metric,电气性能;硬件相关,开关器件（如MOSFET）在导通状态下，源极和漏极之间的电阻。,dictionary_v1,2025-09-28
声压级,SPL;Sound Pressure Level,Metric,声学;测试验证;硬件相关,衡量声音强弱的物理量，单位分贝，是扬声器、麦克风的重要指标。,dictionary_v1,2025-09-28
绝缘阻抗,Insulation Resistance;IR,Metric,可靠性;性能指标;电气性能;电气连接;硬件相关,连接器相邻触点之间或触点与外壳之间的电阻值越大越好,dictionary_v1,2025-09-28
功耗曲线,Power Consumption Profile,Metric,测试验证;硬件相关;软件相关,手机在不同工作模式下的功耗随时间变化的曲线。,dictionary_v1,2025-09-28
哑光,Matt Finish,Component,外观;设计,低光泽度的表面效果，不易留下指纹。,dictionary_v1,2025-09-28
火花纹,EDM Texture,Process,制造工艺;外观;设计,通过电火花加工在模具上形成的纹理，可转移至塑胶件表面。,dictionary_v1,2025-09-28
导通孔孔铜,Via Copper Thickness,Metric,PCB;制造工艺;可靠性,导通孔内壁铜层的厚度，影响电流承载能力和连接可靠性。,dictionary_v1,2025-09-28
胶体流动性,Adhesive Flowability,Metric,制造工艺;点胶;物料,胶水在受力下的流动能力，影响点胶成型和填充效果。,dictionary_v1,2025-09-28
磁饱和,Magnetic Saturation,Metric,电气性能;硬件相关,磁性材料的磁化强度不随外磁场增强而显著增加的状态。,dictionary_v1,2025-09-28
镀层孔隙率,Plating Porosity,Metric,CMF;制造工艺;可靠性,单位面积镀层中针孔的数量，影响其防护性能。,dictionary_v1,2025-09-28
热插拔次数,Hot-plugging Cycles,Metric,可靠性;测试验证;硬件相关,连接器可承受的带电插拔次数，是衡量其寿命的重要指标。,dictionary_v1,2025-09-28
信号完整性,Signal Integrity;SI,Metric,PCB;电气性能;硬件相关;设计,信号在传输路径上的质量，涉及波形失真、时序、噪声等。,dictionary_v1,2025-09-28
水汽敏感等级,MSL;Moisture Sensitivity Level,Metric,SMT;物料;硬件相关,根据IC封装对潮湿的敏感程度进行的分级，决定拆包后的使用时限和烘烤条件。,dictionary_v1,2025-09-28
塑封体,Mold Compound,Material,半导体;封装;物料,用于封装芯片的环氧树脂塑料材料。,dictionary_v1,2025-09-28
翘曲度,Warpage,Metric,制造工艺;可靠性;结构相关,平面部件相对于理想平面的弯曲或扭曲程度量化值。,dictionary_v1,2025-09-28
胶体固化率,Adhesive Cure Rate,Metric,制造工艺;点胶;物料,胶水在特定条件下固化的速度。,dictionary_v1,2025-09-28
射频阻抗,RF Impedance,Metric,PCB;射频相关;硬件相关,射频传输线的特征阻抗，通常设计为50欧姆以实现阻抗匹配。,dictionary_v1,2025-09-28
胶体Tg点,Adhesive Glass Transition Temperature,Metric,可靠性;点胶;物料,胶粘剂的玻璃化转变温度，影响其在不同温度下的力学性能。,dictionary_v1,2025-09-28
邦定强度,Bonding Strength,Metric,制造工艺;半导体;可靠性,芯片与基板之间键合（如金线、胶水）的机械强度。,dictionary_v1,2025-09-28
模温均匀性,Mold Temperature Uniformity,Metric,制造工艺;注塑,模具不同区域温度的差异程度，影响产品收缩和尺寸一致性。,dictionary_v1,2025-09-28
胶体触变性,Adhesive Thixotropy,Metric,制造工艺;点胶;物料,胶体在剪切力作用下粘度减小，静置后粘度恢复的特性，利于成型。,dictionary_v1,2025-09-28
引脚可焊性,Lead Solderability,Metric,SMT;物料;硬件相关,元件引脚表面被熔融焊料润湿形成良好焊点的能力。,dictionary_v1,2025-09-28
功率密度,Power Density,Metric,热管理;硬件相关;设计,单位体积或单位面积上消耗的功率，是热设计的关键输入。,dictionary_v1,2025-09-28
胶体储存期,Adhesive Shelf Life,Metric,制造工艺;点胶;物料,胶水在特定储存条件下保持其使用性能的时间。,dictionary_v1,2025-09-28
LDS天线,激光直接成型天线,Component,制造工艺;设计;通信相关,利用激光在特定塑料上活化出电路图案，然后化学镀金属形成天线。集成度高，适合复杂三维结构。,dictionary_v1,2025-09-28
热界面材料,TIM,Material,可靠性;热管理;物料,填充在发热器件与散热器之间，降低接触热阻的材料，如导热硅脂、相变材料、导热垫片。,dictionary_v1,2025-09-28
差分信号,差动信号,Component,电气性能;设计;通信相关,用一对幅度相等、相位相反的信号来传输信息，抗共模噪声能力强，用于高速接口。,dictionary_v1,2025-09-28
邦定Pad设计,焊盘设计,Component,半导体;封装;设计,芯片上用于键合的铝焊盘或铜焊盘的尺寸、形状和布局设计。,dictionary_v1,2025-09-28
模内装饰薄膜,IML Film,Material,CMF;制造工艺;物料,用于IML工艺的已印刷好图案的薄膜基材。,dictionary_v1,2025-09-28
邦定Pad金属层,焊盘金属化,Component,半导体;封装;设计,芯片键合焊盘上方的金属层（如铝），其厚度和成分影响键合性能。,dictionary_v1,2025-09-28
氮化铝陶瓷,AlN陶瓷,Material,热管理;物料;硬件相关,高导热陶瓷材料用于功率器件封装和散热基板,dictionary_v1,2025-09-28
色饱和度,色彩饱和度,Metric,影像相关;性能指标;显示相关,衡量色彩鲜艳程度的指标饱和度越高颜色越纯,dictionary_v1,2025-09-28
聚酰亚胺薄膜,PI膜,Material,FPC;可靠性;物料,耐高温高绝缘的柔性基材广泛用于柔性电路板,dictionary_v1,2025-09-28
导热凝胶,Thermal Gel;导热泥,Material,可靠性;热管理;物料,膏状热界面材料适用于不规则间隙的散热填充可自动流平,dictionary_v1,2025-09-28
液晶聚合物,LCP,Material,FPC;物料;高频应用,具有低介电常数和损耗的高分子材料适用于高频柔性电路,dictionary_v1,2025-09-28
铍铜合金,铍铜,Material,弹片;物料;硬件相关,高强度高弹性的铜合金常用于制造连接器弹片和屏蔽罩,dictionary_v1,2025-09-28
相位噪声,相位抖动,Metric,射频相关;性能指标;硬件相关,振荡器输出信号相位的随机起伏影响通信系统的信噪比,dictionary_v1,2025-09-28
聚氨酯密封胶,PU胶,Material,可靠性;物料;结构相关,具有良好弹性和粘接性的密封材料用于防水和结构粘接,dictionary_v1,2025-09-28
腐蚀电位,自腐蚀电位,Metric,CMF;可靠性;物料,金属在腐蚀介质中不发生外电流时的电极电位反映其热力学腐蚀倾向,dictionary_v1,2025-09-28
聚对苯二甲酸丁二醇酯,PBT,Material,注塑;物料;结构相关,耐热电绝缘性好的工程塑料用于连接器和结构件,dictionary_v1,2025-09-28
激光直接成型材料,LDS材料,Material,物料;硬件相关;通信相关,含有特殊添加剂的塑料经激光活化后可化学镀金属形成电路,dictionary_v1,2025-09-28
低温共烧陶瓷,LTCC,Material,射频相关;物料;硬件相关,可将导体电阻电容等集成于一体的多层陶瓷基板技术,dictionary_v1,2025-09-28
信纳比,SINAD,Metric,声学;测试验证;硬件相关,信号+噪声+失真的总功率与噪声+失真的功率之比，衡量音频系统的动态性能。,dictionary_v1,2025-09-28
聚醚醚酮,PEEK,Material,可靠性;物料;结构相关,耐高温耐化学腐蚀机械强度高的特种工程塑料,dictionary_v1,2025-09-28
氰酸酯树脂,氰酸酯,Material,PCB;物料;高频应用,具有低介电损耗的高性能树脂用于高频电路板,dictionary_v1,2025-09-28
聚四氟乙烯,PTFE,Material,物料;硬件相关;高频应用,介电性能极佳耐化学性强的塑料用于高频电路和绝缘,dictionary_v1,2025-09-28
总谐波失真,THD,Metric,人机交互;声学;性能指标;测试验证;硬件相关,谐波总功率与基波功率的比值衡量音频设备非线性失真,dictionary_v1,2025-09-28
玻璃纤维布,玻纤布,Material,PCB;制造工艺;物料,用作PCB基板的增强材料提供机械强度和尺寸稳定性,dictionary_v1,2025-09-28
磁性流体,磁液,Material,声学;物料;硬件相关,含有纳米磁性颗粒的液体用于扬声器音圈散热和阻尼,dictionary_v1,2025-09-28
误差向量幅度,EVM,Metric,测试验证;硬件相关;通信相关,衡量数字调制信号质量的关键参数表示实际信号点与理想点的偏差,dictionary_v1,2025-09-28
氧化铟锡,ITO,Material,显示相关;物料;硬件相关,透明导电薄膜材料用于触摸屏传感器和显示电极,dictionary_v1,2025-09-28
导电布,导电织物,Material,EMC;物料;硬件相关,纤维织物表面金属化制成的柔性电磁屏蔽材料,dictionary_v1,2025-09-28
接收灵敏度,灵敏度;Receiver Sensitivity,Metric,射频相关;性能指标;测试验证;硬件相关;通信相关,接收机在满足特定误码率条件下能识别的最小输入信号功率,dictionary_v1,2025-09-28
环氧模塑料,EMC,Material,半导体;封装;物料,用于封装芯片的环氧树脂基复合材料提供保护和散热,dictionary_v1,2025-09-28
硅凝胶,硅胶,Material,可靠性;封装;物料,柔软透明的硅基凝胶用于芯片的软保护和应力缓冲,dictionary_v1,2025-09-28
发射功率,输出功率,Metric,测试验证;硬件相关;通信相关,发射机天线连接处输出的射频功率需符合法规限值,dictionary_v1,2025-09-28
铝碳化硅,AlSiC,Material,热管理;物料;硬件相关,高导热低膨胀的金属基复合材料用于功率器件散热底座,dictionary_v1,2025-09-28
导热相变材料,PCM,Material,可靠性;热管理;物料,在特定温度发生相变（固-液）能有效填充界面间隙的导热材料,dictionary_v1,2025-09-28
互调失真,IMD,Metric,射频相关;测试验证;硬件相关,由系统非线性导致两个输入频率产生新频率分量造成的干扰,dictionary_v1,2025-09-28
聚萘二甲酸乙二醇酯,PEN,Material,FPC;可靠性;物料,性能介于PET和PI之间的柔性基材耐热性优于PET,dictionary_v1,2025-09-28
电磁屏蔽泡棉,导电泡棉,Material,EMC;物料;硬件相关,具有弹性的导电海绵材料用于缝隙的电磁屏蔽,dictionary_v1,2025-09-28
相位裕量,相位裕度,Metric,电气性能;硬件相关;设计,反馈系统稳定性的度量相位裕量越大系统越稳定,dictionary_v1,2025-09-28
聚苯硫醚,PPS,Material,注塑;物料;结构相关,耐高温耐化学腐蚀尺寸稳定的工程塑料,dictionary_v1,2025-09-28
热塑性聚氨酯,TPU,Material,可靠性;物料;结构相关,具有良好弹性耐磨性和抗撕裂性的塑料用于保护套等,dictionary_v1,2025-09-28
增益平坦度,增益平坦性,Metric,射频相关;测试验证;硬件相关,放大器在工作频带内增益的波动程度,dictionary_v1,2025-09-28
微波复合介质基板,高频板材,Material,PCB;射频相关;物料,具有低损耗稳定介电常数的高频电路板专用材料,dictionary_v1,2025-09-28
陶瓷基板,陶瓷电路板,Material,热管理;物料;硬件相关,氧化铝氮化铝等陶瓷制成的电路基板绝缘性好导热率高,dictionary_v1,2025-09-28
群延迟,群时延,Metric,射频相关;测试验证;硬件相关,信号不同频率成分通过系统时的时间延迟差异,dictionary_v1,2025-09-28
磁性形状记忆合金,MSMA,Material,传感器;物料;硬件相关,在外磁场作用下可产生大应变的新型智能材料,dictionary_v1,2025-09-28
OLED面板,有机发光二极管显示屏,Component,显示相关;硬件相关,像素自发光对比度高色彩鲜艳可柔性的显示面板,dictionary_v1,2025-09-28
LCD面板,液晶显示屏,Component,显示相关;硬件相关,需要背光模组成本较低技术成熟的液晶显示面板,dictionary_v1,2025-09-28
盖板玻璃,Cover Glass;防护玻璃,Component,外观;显示相关;结构相关,保护屏幕免受冲击和刮伤的防护玻璃,dictionary_v1,2025-09-28
偏光片,Polarizer,Component,显示相关;物料,将自然光转换为偏振光是LCD显示不可或缺的组件,dictionary_v1,2025-09-28
光学胶,OCA,Material,制造工艺;显示相关;物料,用于全贴合粘接盖板与触摸屏或显示屏减少反光提升透光率,dictionary_v1,2025-09-28
背光模组,Backlight Unit;BLU,Component,显示相关;硬件相关,为LCD提供均匀明亮的面光源的模组,dictionary_v1,2025-09-28
显示驱动芯片,Display Driver IC;DDI,Component,半导体;显示相关;硬件相关,接收主机信号驱动显示屏像素点显示图像的芯片,dictionary_v1,2025-09-28
触控报点率,Touch Report Rate,Metric,人机交互;性能指标;显示相关,每秒触摸屏上报坐标的次数影响触控跟手性,dictionary_v1,2025-09-28
